# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,1.7583e-08
2.0000e+01,3.2791e-08
3.0000e+01,4.4428e-08
4.0000e+01,5.2673e-08
5.0000e+01,5.8397e-08
6.0000e+01,6.2449e-08
7.0000e+01,6.5387e-08
8.0000e+01,6.7545e-08
9.0000e+01,6.9144e-08
1.0000e+02,7.0344e-08
1.1000e+02,7.1260e-08
1.2000e+02,7.1968e-08
1.3000e+02,7.2521e-08
1.4000e+02,7.2958e-08
1.5000e+02,7.3306e-08
1.6000e+02,7.3586e-08
1.7000e+02,7.3814e-08
1.8000e+02,7.4001e-08
1.9000e+02,7.4157e-08
2.0000e+02,7.4287e-08
2.1000e+02,7.4396e-08
2.2000e+02,7.4487e-08
2.3000e+02,7.4561e-08
2.4000e+02,7.4622e-08
2.5000e+02,7.4671e-08
2.6000e+02,7.4713e-08
2.7000e+02,7.4749e-08
2.8000e+02,7.4784e-08
2.9000e+02,7.4817e-08
3.0000e+02,7.4850e-08
3.1000e+02,7.4882e-08
3.2000e+02,7.4913e-08
3.3000e+02,7.4945e-08
3.4000e+02,7.4978e-08
3.5000e+02,7.5004e-08
3.6000e+02,7.5021e-08
3.7000e+02,7.5035e-08
3.8000e+02,7.5056e-08
3.9000e+02,7.5083e-08
4.0000e+02,7.5105e-08
4.1000e+02,7.5112e-08
4.2000e+02,7.5106e-08
4.3000e+02,7.5099e-08
4.4000e+02,7.5100e-08
4.5000e+02,7.5110e-08
4.6000e+02,7.5122e-08
4.7000e+02,7.5131e-08
4.8000e+02,7.5133e-08
4.9000e+02,7.5131e-08
5.0000e+02,7.5129e-08
5.1000e+02,7.5127e-08
5.2000e+02,7.5126e-08
5.3000e+02,7.5124e-08
5.4000e+02,7.5123e-08
5.5000e+02,7.5120e-08
5.6000e+02,7.5115e-08
5.7000e+02,7.5106e-08
5.8000e+02,7.5095e-08
5.9000e+02,7.5083e-08
6.0000e+02,7.5074e-08
6.1000e+02,7.5070e-08
6.2000e+02,7.5070e-08
6.3000e+02,7.5069e-08
6.4000e+02,7.5061e-08
6.5000e+02,7.5040e-08
6.6000e+02,7.5011e-08
6.7000e+02,7.4980e-08
6.8000e+02,7.4959e-08
6.9000e+02,7.4945e-08
7.0000e+02,7.4931e-08
7.1000e+02,7.4909e-08
7.2000e+02,7.4887e-08
7.3000e+02,7.4888e-08
7.4000e+02,7.4927e-08
7.5000e+02,7.4993e-08
7.6000e+02,7.5048e-08
7.7000e+02,7.5060e-08
7.8000e+02,7.5022e-08
7.9000e+02,7.4956e-08
8.0000e+02,7.4905e-08
8.1000e+02,7.4901e-08
8.2000e+02,7.4957e-08
8.3000e+02,7.5056e-08
8.4000e+02,7.5161e-08
8.5000e+02,7.5235e-08
8.6000e+02,7.5256e-08
8.7000e+02,7.5224e-08
8.8000e+02,7.5156e-08
8.9000e+02,7.5069e-08
9.0000e+02,7.4968e-08
9.1000e+02,7.4863e-08
9.2000e+02,7.4775e-08
9.3000e+02,7.4736e-08
9.4000e+02,7.4764e-08
9.5000e+02,7.4846e-08
9.6000e+02,7.4949e-08
9.7000e+02,7.5039e-08
9.8000e+02,7.5091e-08
9.9000e+02,7.5087e-08
1.0000e+03,7.5007e-08
1.0100e+03,7.4837e-08
1.0200e+03,7.4589e-08
1.0300e+03,7.4314e-08
1.0400e+03,7.4089e-08
1.0500e+03,7.3966e-08
1.0600e+03,7.3949e-08
1.0700e+03,7.3999e-08
1.0800e+03,7.4086e-08
1.0900e+03,7.4213e-08
1.1000e+03,7.4389e-08
1.1100e+03,7.4599e-08
1.1200e+03,7.4786e-08
1.1300e+03,7.4895e-08
1.1400e+03,7.4907e-08
1.1500e+03,7.4850e-08
1.1600e+03,7.4772e-08
1.1700e+03,7.4712e-08
1.1800e+03,7.4680e-08
1.1900e+03,7.4656e-08
1.2000e+03,7.4607e-08
1.2100e+03,7.4517e-08
1.2200e+03,7.4407e-08
1.2300e+03,7.4325e-08
1.2400e+03,7.4315e-08
1.2500e+03,7.4388e-08
1.2600e+03,7.4512e-08
1.2700e+03,7.4630e-08
1.2800e+03,7.4691e-08
1.2900e+03,7.4682e-08
1.3000e+03,7.4629e-08
1.3100e+03,7.4568e-08
1.3200e+03,7.4525e-08
1.3300e+03,7.4506e-08
1.3400e+03,7.4521e-08
1.3500e+03,7.4579e-08
1.3600e+03,7.4682e-08
1.3700e+03,7.4801e-08
1.3800e+03,7.4895e-08
1.3900e+03,7.4935e-08
1.4000e+03,7.4919e-08
1.4100e+03,7.4867e-08
1.4200e+03,7.4801e-08
1.4300e+03,7.4742e-08
1.4400e+03,7.4701e-08
1.4500e+03,7.4683e-08
1.4600e+03,7.4684e-08
1.4700e+03,7.4691e-08
1.4800e+03,7.4696e-08
1.4900e+03,7.4696e-08
1.5000e+03,7.4694e-08
1.5100e+03,7.4694e-08
1.5200e+03,7.4694e-08
1.5300e+03,7.4691e-08
1.5400e+03,7.4685e-08
1.5500e+03,7.4679e-08
1.5600e+03,7.4679e-08
1.5700e+03,7.4683e-08
1.5800e+03,7.4683e-08
1.5900e+03,7.4666e-08
1.6000e+03,7.4625e-08
1.6100e+03,7.4568e-08
1.6200e+03,7.4521e-08
1.6300e+03,7.4508e-08
1.6400e+03,7.4541e-08
1.6500e+03,7.4605e-08
1.6600e+03,7.4673e-08
1.6700e+03,7.4717e-08
1.6800e+03,7.4720e-08
1.6900e+03,7.4675e-08
1.7000e+03,7.4593e-08
1.7100e+03,7.4503e-08
1.7200e+03,7.4441e-08
1.7300e+03,7.4430e-08
1.7400e+03,7.4467e-08
1.7500e+03,7.4527e-08
1.7600e+03,7.4586e-08
1.7700e+03,7.4626e-08
1.7800e+03,7.4638e-08
1.7900e+03,7.4624e-08
1.8000e+03,7.4587e-08
1.8100e+03,7.4542e-08
1.8200e+03,7.4503e-08
1.8300e+03,7.4484e-08
1.8400e+03,7.4487e-08
1.8500e+03,7.4507e-08
1.8600e+03,7.4534e-08
1.8700e+03,7.4558e-08
1.8800e+03,7.4570e-08
1.8900e+03,7.4567e-08
1.9000e+03,7.4553e-08
1.9100e+03,7.4536e-08
1.9200e+03,7.4529e-08
1.9300e+03,7.4544e-08
1.9400e+03,7.4585e-08
1.9500e+03,7.4640e-08
1.9600e+03,7.4686e-08
1.9700e+03,7.4691e-08
1.9800e+03,7.4637e-08
1.9900e+03,7.4535e-08
2.0000e+03,7.4422e-08
2.0100e+03,7.4346e-08
2.0200e+03,7.4338e-08
2.0300e+03,7.4388e-08
2.0400e+03,7.4442e-08
2.0500e+03,7.4442e-08
2.0600e+03,7.4374e-08
2.0700e+03,7.4276e-08
2.0800e+03,7.4197e-08
2.0900e+03,7.4148e-08
2.1000e+03,7.4116e-08
2.1100e+03,7.4085e-08
2.1200e+03,7.4045e-08
2.1300e+03,7.3982e-08
2.1400e+03,7.3903e-08
2.1500e+03,7.3839e-08
2.1600e+03,7.3828e-08
2.1700e+03,7.3878e-08
2.1800e+03,7.3974e-08
2.1900e+03,7.4111e-08
2.2000e+03,7.4291e-08
2.2100e+03,7.4505e-08
2.2200e+03,7.4707e-08
2.2300e+03,7.4841e-08
2.2400e+03,7.4877e-08
2.2500e+03,7.4827e-08
2.2600e+03,7.4732e-08
2.2700e+03,7.4625e-08
2.2800e+03,7.4522e-08
2.2900e+03,7.4426e-08
2.3000e+03,7.4347e-08
2.3100e+03,7.4298e-08
2.3200e+03,7.4280e-08
2.3300e+03,7.4287e-08
2.3400e+03,7.4314e-08
2.3500e+03,7.4350e-08
2.3600e+03,7.4378e-08
2.3700e+03,7.4380e-08
2.3800e+03,7.4359e-08
2.3900e+03,7.4333e-08
2.4000e+03,7.4321e-08
2.4100e+03,7.4330e-08
2.4200e+03,7.4352e-08
2.4300e+03,7.4375e-08
2.4400e+03,7.4386e-08
2.4500e+03,7.4377e-08
2.4600e+03,7.4349e-08
2.4700e+03,7.4319e-08
2.4800e+03,7.4303e-08
2.4900e+03,7.4309e-08
2.5000e+03,7.4331e-08
2.5100e+03,7.4357e-08
2.5200e+03,7.4376e-08
2.5300e+03,7.4384e-08
2.5400e+03,7.4385e-08
2.5500e+03,7.4380e-08
2.5600e+03,7.4369e-08
2.5700e+03,7.4351e-08
2.5800e+03,7.4330e-08
2.5900e+03,7.4314e-08
2.6000e+03,7.4311e-08
2.6100e+03,7.4321e-08
2.6200e+03,7.4333e-08
2.6300e+03,7.4336e-08
2.6400e+03,7.4318e-08
2.6500e+03,7.4281e-08
2.6600e+03,7.4236e-08
2.6700e+03,7.4204e-08
2.6800e+03,7.4199e-08
2.6900e+03,7.4218e-08
2.7000e+03,7.4243e-08
2.7100e+03,7.4257e-08
2.7200e+03,7.4263e-08
2.7300e+03,7.4280e-08
2.7400e+03,7.4323e-08
2.7500e+03,7.4383e-08
2.7600e+03,7.4433e-08
2.7700e+03,7.4440e-08
2.7800e+03,7.4388e-08
2.7900e+03,7.4297e-08
2.8000e+03,7.4211e-08
2.8100e+03,7.4175e-08
2.8200e+03,7.4195e-08
2.8300e+03,7.4240e-08
2.8400e+03,7.4272e-08
2.8500e+03,7.4268e-08
2.8600e+03,7.4217e-08
2.8700e+03,7.4107e-08
2.8800e+03,7.3939e-08
2.8900e+03,7.3755e-08
2.9000e+03,7.3633e-08
2.9100e+03,7.3641e-08
2.9200e+03,7.3795e-08
2.9300e+03,7.4062e-08
2.9400e+03,7.4387e-08
2.9500e+03,7.4710e-08
2.9600e+03,7.4957e-08
2.9700e+03,7.5054e-08
2.9800e+03,7.4972e-08
2.9900e+03,7.4762e-08
3.0000e+03,7.4527e-08
3.0100e+03,7.4361e-08
3.0200e+03,7.4302e-08
3.0300e+03,7.4342e-08
