# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,4.9740e-08
2.0000e+01,9.4752e-08
3.0000e+01,1.3209e-07
4.0000e+01,1.6112e-07
5.0000e+01,1.8285e-07
6.0000e+01,1.9888e-07
7.0000e+01,2.1070e-07
8.0000e+01,2.1944e-07
9.0000e+01,2.2597e-07
1.0000e+02,2.3088e-07
1.1000e+02,2.3462e-07
1.2000e+02,2.3749e-07
1.3000e+02,2.3973e-07
1.4000e+02,2.4148e-07
1.5000e+02,2.4287e-07
1.6000e+02,2.4399e-07
1.7000e+02,2.4490e-07
1.8000e+02,2.4564e-07
1.9000e+02,2.4625e-07
2.0000e+02,2.4676e-07
2.1000e+02,2.4718e-07
2.2000e+02,2.4753e-07
2.3000e+02,2.4782e-07
2.4000e+02,2.4806e-07
2.5000e+02,2.4827e-07
2.6000e+02,2.4844e-07
2.7000e+02,2.4859e-07
2.8000e+02,2.4873e-07
2.9000e+02,2.4886e-07
3.0000e+02,2.4898e-07
3.1000e+02,2.4910e-07
3.2000e+02,2.4922e-07
3.3000e+02,2.4933e-07
3.4000e+02,2.4944e-07
3.5000e+02,2.4953e-07
3.6000e+02,2.4961e-07
3.7000e+02,2.4968e-07
3.8000e+02,2.4976e-07
3.9000e+02,2.4983e-07
4.0000e+02,2.4988e-07
4.1000e+02,2.4991e-07
4.2000e+02,2.4993e-07
4.3000e+02,2.4993e-07
4.4000e+02,2.4994e-07
4.5000e+02,2.4996e-07
4.6000e+02,2.4998e-07
4.7000e+02,2.5000e-07
4.8000e+02,2.5001e-07
4.9000e+02,2.5001e-07
5.0000e+02,2.5001e-07
5.1000e+02,2.5001e-07
5.2000e+02,2.5000e-07
5.3000e+02,2.5000e-07
5.4000e+02,2.5000e-07
5.5000e+02,2.5000e-07
5.6000e+02,2.5000e-07
5.7000e+02,2.4999e-07
5.8000e+02,2.4999e-07
5.9000e+02,2.4999e-07
6.0000e+02,2.5000e-07
6.1000e+02,2.5000e-07
6.2000e+02,2.5001e-07
6.3000e+02,2.5000e-07
6.4000e+02,2.4997e-07
6.5000e+02,2.4990e-07
6.6000e+02,2.4981e-07
6.7000e+02,2.4970e-07
6.8000e+02,2.4958e-07
6.9000e+02,2.4948e-07
7.0000e+02,2.4939e-07
7.1000e+02,2.4932e-07
7.2000e+02,2.4927e-07
7.3000e+02,2.4926e-07
7.4000e+02,2.4931e-07
7.5000e+02,2.4940e-07
7.6000e+02,2.4951e-07
7.7000e+02,2.4959e-07
7.8000e+02,2.4964e-07
7.9000e+02,2.4965e-07
8.0000e+02,2.4966e-07
8.1000e+02,2.4971e-07
8.2000e+02,2.4981e-07
8.3000e+02,2.4996e-07
8.4000e+02,2.5012e-07
8.5000e+02,2.5026e-07
8.6000e+02,2.5034e-07
8.7000e+02,2.5035e-07
8.8000e+02,2.5030e-07
8.9000e+02,2.5020e-07
9.0000e+02,2.5007e-07
9.1000e+02,2.4990e-07
9.2000e+02,2.4972e-07
9.3000e+02,2.4955e-07
9.4000e+02,2.4942e-07
9.5000e+02,2.4934e-07
9.6000e+02,2.4928e-07
9.7000e+02,2.4923e-07
9.8000e+02,2.4917e-07
9.9000e+02,2.4907e-07
1.0000e+03,2.4891e-07
1.0100e+03,2.4866e-07
1.0200e+03,2.4831e-07
1.0300e+03,2.4791e-07
1.0400e+03,2.4751e-07
1.0500e+03,2.4720e-07
1.0600e+03,2.4699e-07
1.0700e+03,2.4688e-07
1.0800e+03,2.4686e-07
1.0900e+03,2.4693e-07
1.1000e+03,2.4710e-07
1.1100e+03,2.4735e-07
1.1200e+03,2.4761e-07
1.1300e+03,2.4783e-07
1.1400e+03,2.4796e-07
1.1500e+03,2.4802e-07
1.1600e+03,2.4802e-07
1.1700e+03,2.4802e-07
1.1800e+03,2.4803e-07
1.1900e+03,2.4804e-07
1.2000e+03,2.4801e-07
1.2100e+03,2.4795e-07
1.2200e+03,2.4785e-07
1.2300e+03,2.4777e-07
1.2400e+03,2.4775e-07
1.2500e+03,2.4783e-07
1.2600e+03,2.4797e-07
1.2700e+03,2.4813e-07
1.2800e+03,2.4826e-07
1.2900e+03,2.4832e-07
1.3000e+03,2.4832e-07
1.3100e+03,2.4830e-07
1.3200e+03,2.4827e-07
1.3300e+03,2.4827e-07
1.3400e+03,2.4829e-07
1.3500e+03,2.4835e-07
1.3600e+03,2.4846e-07
1.3700e+03,2.4858e-07
1.3800e+03,2.4868e-07
1.3900e+03,2.4873e-07
1.4000e+03,2.4873e-07
1.4100e+03,2.4868e-07
1.4200e+03,2.4862e-07
1.4300e+03,2.4855e-07
1.4400e+03,2.4851e-07
1.4500e+03,2.4849e-07
1.4600e+03,2.4848e-07
1.4700e+03,2.4849e-07
1.4800e+03,2.4850e-07
1.4900e+03,2.4850e-07
1.5000e+03,2.4850e-07
1.5100e+03,2.4850e-07
1.5200e+03,2.4850e-07
1.5300e+03,2.4850e-07
1.5400e+03,2.4849e-07
1.5500e+03,2.4849e-07
1.5600e+03,2.4849e-07
1.5700e+03,2.4849e-07
1.5800e+03,2.4849e-07
1.5900e+03,2.4847e-07
1.6000e+03,2.4843e-07
1.6100e+03,2.4837e-07
1.6200e+03,2.4830e-07
1.6300e+03,2.4826e-07
1.6400e+03,2.4825e-07
1.6500e+03,2.4829e-07
1.6600e+03,2.4834e-07
1.6700e+03,2.4838e-07
1.6800e+03,2.4838e-07
1.6900e+03,2.4833e-07
1.7000e+03,2.4824e-07
1.7100e+03,2.4812e-07
1.7200e+03,2.4801e-07
1.7300e+03,2.4795e-07
1.7400e+03,2.4794e-07
1.7500e+03,2.4796e-07
1.7600e+03,2.4800e-07
1.7700e+03,2.4803e-07
1.7800e+03,2.4805e-07
1.7900e+03,2.4804e-07
1.8000e+03,2.4801e-07
1.8100e+03,2.4797e-07
1.8200e+03,2.4793e-07
1.8300e+03,2.4791e-07
1.8400e+03,2.4791e-07
1.8500e+03,2.4793e-07
1.8600e+03,2.4796e-07
1.8700e+03,2.4800e-07
1.8800e+03,2.4802e-07
1.8900e+03,2.4803e-07
1.9000e+03,2.4802e-07
1.9100e+03,2.4800e-07
1.9200e+03,2.4798e-07
1.9300e+03,2.4798e-07
1.9400e+03,2.4800e-07
1.9500e+03,2.4803e-07
1.9600e+03,2.4807e-07
1.9700e+03,2.4808e-07
1.9800e+03,2.4803e-07
1.9900e+03,2.4793e-07
2.0000e+03,2.4779e-07
2.0100e+03,2.4768e-07
2.0200e+03,2.4762e-07
2.0300e+03,2.4762e-07
2.0400e+03,2.4764e-07
2.0500e+03,2.4763e-07
2.0600e+03,2.4755e-07
2.0700e+03,2.4742e-07
2.0800e+03,2.4728e-07
2.0900e+03,2.4716e-07
2.1000e+03,2.4706e-07
2.1100e+03,2.4696e-07
2.1200e+03,2.4685e-07
2.1300e+03,2.4674e-07
2.1400e+03,2.4661e-07
2.1500e+03,2.4647e-07
2.1600e+03,2.4638e-07
2.1700e+03,2.4635e-07
2.1800e+03,2.4641e-07
2.1900e+03,2.4654e-07
2.2000e+03,2.4671e-07
2.2100e+03,2.4692e-07
2.2200e+03,2.4715e-07
2.2300e+03,2.4735e-07
2.2400e+03,2.4748e-07
2.2500e+03,2.4751e-07
2.2600e+03,2.4747e-07
2.2700e+03,2.4738e-07
2.2800e+03,2.4729e-07
2.2900e+03,2.4722e-07
2.3000e+03,2.4715e-07
2.3100e+03,2.4709e-07
2.3200e+03,2.4706e-07
2.3300e+03,2.4706e-07
2.3400e+03,2.4710e-07
2.3500e+03,2.4715e-07
2.3600e+03,2.4720e-07
2.3700e+03,2.4721e-07
2.3800e+03,2.4719e-07
2.3900e+03,2.4717e-07
2.4000e+03,2.4717e-07
2.4100e+03,2.4719e-07
2.4200e+03,2.4722e-07
2.4300e+03,2.4724e-07
2.4400e+03,2.4725e-07
