# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,9.7727e-13
2.0000e+01,1.9544e-12
3.0000e+01,2.9314e-12
4.0000e+01,3.9079e-12
5.0000e+01,4.8841e-12
6.0000e+01,5.8597e-12
7.0000e+01,6.8345e-12
8.0000e+01,7.8086e-12
9.0000e+01,8.7818e-12
1.0000e+02,9.7540e-12
1.1000e+02,1.0725e-11
1.2000e+02,1.1695e-11
1.3000e+02,1.2663e-11
1.4000e+02,1.3630e-11
1.5000e+02,1.4596e-11
1.6000e+02,1.5560e-11
1.7000e+02,1.6522e-11
1.8000e+02,1.7482e-11
1.9000e+02,1.8440e-11
2.0000e+02,1.9396e-11
2.1000e+02,2.0350e-11
2.2000e+02,2.1302e-11
2.3000e+02,2.2251e-11
2.4000e+02,2.3198e-11
2.5000e+02,2.4142e-11
2.6000e+02,2.5084e-11
2.7000e+02,2.6022e-11
2.8000e+02,2.6958e-11
2.9000e+02,2.7892e-11
3.0000e+02,2.8822e-11
3.1000e+02,2.9749e-11
3.2000e+02,3.0672e-11
3.3000e+02,3.1593e-11
3.4000e+02,3.2510e-11
3.5000e+02,3.3424e-11
3.6000e+02,3.4334e-11
3.7000e+02,3.5241e-11
3.8000e+02,3.6144e-11
3.9000e+02,3.7043e-11
4.0000e+02,3.7938e-11
4.1000e+02,3.8830e-11
4.2000e+02,3.9718e-11
4.3000e+02,4.0602e-11
4.4000e+02,4.1481e-11
4.5000e+02,4.2357e-11
4.6000e+02,4.3228e-11
4.7000e+02,4.4096e-11
4.8000e+02,4.4959e-11
4.9000e+02,4.5817e-11
5.0000e+02,4.6672e-11
5.1000e+02,4.7522e-11
5.2000e+02,4.8367e-11
5.3000e+02,4.9208e-11
5.4000e+02,5.0045e-11
5.5000e+02,5.0877e-11
5.6000e+02,5.1704e-11
5.7000e+02,5.2527e-11
5.8000e+02,5.3345e-11
5.9000e+02,5.4158e-11
6.0000e+02,5.4966e-11
6.1000e+02,5.5770e-11
6.2000e+02,5.6569e-11
6.3000e+02,5.7363e-11
6.4000e+02,5.8153e-11
6.5000e+02,5.8937e-11
6.6000e+02,5.9717e-11
6.7000e+02,6.0492e-11
6.8000e+02,6.1262e-11
6.9000e+02,6.2027e-11
7.0000e+02,6.2787e-11
7.1000e+02,6.3542e-11
7.2000e+02,6.4293e-11
7.3000e+02,6.5038e-11
7.4000e+02,6.5778e-11
7.5000e+02,6.6514e-11
7.6000e+02,6.7244e-11
7.7000e+02,6.7970e-11
7.8000e+02,6.8691e-11
7.9000e+02,6.9406e-11
8.0000e+02,7.0117e-11
8.1000e+02,7.0823e-11
8.2000e+02,7.1524e-11
8.3000e+02,7.2220e-11
