# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,3.5051e-08
2.0000e+01,6.9876e-08
3.0000e+01,1.0425e-07
4.0000e+01,1.3798e-07
5.0000e+01,1.7086e-07
6.0000e+01,2.0273e-07
7.0000e+01,2.3343e-07
8.0000e+01,2.6286e-07
9.0000e+01,2.9091e-07
1.0000e+02,3.1751e-07
1.1000e+02,3.4264e-07
1.2000e+02,3.6627e-07
1.3000e+02,3.8840e-07
1.4000e+02,4.0907e-07
1.5000e+02,4.2829e-07
1.6000e+02,4.4614e-07
1.7000e+02,4.6265e-07
1.8000e+02,4.7791e-07
1.9000e+02,4.9198e-07
2.0000e+02,5.0494e-07
2.1000e+02,5.1686e-07
2.2000e+02,5.2781e-07
2.3000e+02,5.3786e-07
2.4000e+02,5.4708e-07
2.5000e+02,5.5554e-07
2.6000e+02,5.6331e-07
2.7000e+02,5.7042e-07
2.8000e+02,5.7695e-07
2.9000e+02,5.8293e-07
3.0000e+02,5.8842e-07
3.1000e+02,5.9346e-07
3.2000e+02,5.9808e-07
3.3000e+02,6.0231e-07
3.4000e+02,6.0620e-07
3.5000e+02,6.0977e-07
3.6000e+02,6.1305e-07
3.7000e+02,6.1606e-07
3.8000e+02,6.1882e-07
3.9000e+02,6.2136e-07
4.0000e+02,6.2369e-07
4.1000e+02,6.2583e-07
4.2000e+02,6.2780e-07
4.3000e+02,6.2961e-07
4.4000e+02,6.3128e-07
4.5000e+02,6.3282e-07
4.6000e+02,6.3424e-07
4.7000e+02,6.3555e-07
4.8000e+02,6.3677e-07
4.9000e+02,6.3791e-07
5.0000e+02,6.3897e-07
5.1000e+02,6.3996e-07
5.2000e+02,6.4090e-07
5.3000e+02,6.4178e-07
5.4000e+02,6.4261e-07
5.5000e+02,6.4341e-07
5.6000e+02,6.4417e-07
5.7000e+02,6.4490e-07
5.8000e+02,6.4560e-07
5.9000e+02,6.4628e-07
6.0000e+02,6.4694e-07
6.1000e+02,6.4759e-07
6.2000e+02,6.4822e-07
6.3000e+02,6.4884e-07
6.4000e+02,6.4945e-07
6.5000e+02,6.5005e-07
6.6000e+02,6.5066e-07
6.7000e+02,6.5125e-07
6.8000e+02,6.5185e-07
6.9000e+02,6.5246e-07
7.0000e+02,6.5307e-07
7.1000e+02,6.5368e-07
7.2000e+02,6.5431e-07
7.3000e+02,6.5494e-07
7.4000e+02,6.5559e-07
7.5000e+02,6.5624e-07
7.6000e+02,6.5690e-07
7.7000e+02,6.5756e-07
7.8000e+02,6.5822e-07
7.9000e+02,6.5888e-07
8.0000e+02,6.5953e-07
8.1000e+02,6.6015e-07
8.2000e+02,6.6076e-07
8.3000e+02,6.6132e-07
8.4000e+02,6.6185e-07
8.5000e+02,6.6233e-07
8.6000e+02,6.6275e-07
8.7000e+02,6.6310e-07
8.8000e+02,6.6338e-07
8.9000e+02,6.6359e-07
9.0000e+02,6.6373e-07
9.1000e+02,6.6378e-07
9.2000e+02,6.6376e-07
9.3000e+02,6.6366e-07
9.4000e+02,6.6350e-07
9.5000e+02,6.6327e-07
9.6000e+02,6.6298e-07
9.7000e+02,6.6265e-07
9.8000e+02,6.6229e-07
9.9000e+02,6.6190e-07
1.0000e+03,6.6151e-07
1.0100e+03,6.6112e-07
1.0200e+03,6.6075e-07
1.0300e+03,6.6041e-07
1.0400e+03,6.6011e-07
1.0500e+03,6.5987e-07
1.0600e+03,6.5970e-07
1.0700e+03,6.5960e-07
1.0800e+03,6.5958e-07
1.0900e+03,6.5965e-07
1.1000e+03,6.5981e-07
1.1100e+03,6.6007e-07
1.1200e+03,6.6042e-07
1.1300e+03,6.6087e-07
1.1400e+03,6.6140e-07
1.1500e+03,6.6202e-07
1.1600e+03,6.6272e-07
1.1700e+03,6.6349e-07
1.1800e+03,6.6432e-07
1.1900e+03,6.6521e-07
1.2000e+03,6.6614e-07
1.2100e+03,6.6710e-07
1.2200e+03,6.6809e-07
1.2300e+03,6.6909e-07
1.2400e+03,6.7011e-07
1.2500e+03,6.7111e-07
1.2600e+03,6.7211e-07
1.2700e+03,6.7309e-07
1.2800e+03,6.7404e-07
1.2900e+03,6.7496e-07
1.3000e+03,6.7585e-07
1.3100e+03,6.7669e-07
1.3200e+03,6.7749e-07
1.3300e+03,6.7825e-07
1.3400e+03,6.7895e-07
1.3500e+03,6.7961e-07
1.3600e+03,6.8021e-07
1.3700e+03,6.8076e-07
1.3800e+03,6.8127e-07
1.3900e+03,6.8172e-07
1.4000e+03,6.8212e-07
1.4100e+03,6.8248e-07
1.4200e+03,6.8279e-07
1.4300e+03,6.8305e-07
1.4400e+03,6.8327e-07
1.4500e+03,6.8345e-07
1.4600e+03,6.8359e-07
1.4700e+03,6.8369e-07
1.4800e+03,6.8375e-07
1.4900e+03,6.8378e-07
1.5000e+03,6.8378e-07
1.5100e+03,6.8374e-07
1.5200e+03,6.8368e-07
1.5300e+03,6.8358e-07
1.5400e+03,6.8346e-07
1.5500e+03,6.8331e-07
1.5600e+03,6.8313e-07
1.5700e+03,6.8292e-07
1.5800e+03,6.8269e-07
1.5900e+03,6.8243e-07
1.6000e+03,6.8215e-07
1.6100e+03,6.8184e-07
1.6200e+03,6.8150e-07
1.6300e+03,6.8114e-07
1.6400e+03,6.8076e-07
1.6500e+03,6.8035e-07
1.6600e+03,6.7992e-07
1.6700e+03,6.7946e-07
1.6800e+03,6.7899e-07
1.6900e+03,6.7850e-07
1.7000e+03,6.7800e-07
1.7100e+03,6.7748e-07
1.7200e+03,6.7696e-07
1.7300e+03,6.7643e-07
1.7400e+03,6.7590e-07
1.7500e+03,6.7537e-07
1.7600e+03,6.7485e-07
1.7700e+03,6.7433e-07
1.7800e+03,6.7383e-07
1.7900e+03,6.7334e-07
1.8000e+03,6.7286e-07
1.8100e+03,6.7241e-07
1.8200e+03,6.7198e-07
1.8300e+03,6.7157e-07
1.8400e+03,6.7118e-07
1.8500e+03,6.7081e-07
1.8600e+03,6.7046e-07
1.8700e+03,6.7012e-07
1.8800e+03,6.6980e-07
1.8900e+03,6.6949e-07
1.9000e+03,6.6919e-07
1.9100e+03,6.6888e-07
1.9200e+03,6.6858e-07
1.9300e+03,6.6827e-07
1.9400e+03,6.6795e-07
1.9500e+03,6.6761e-07
1.9600e+03,6.6726e-07
1.9700e+03,6.6688e-07
1.9800e+03,6.6648e-07
1.9900e+03,6.6606e-07
2.0000e+03,6.6561e-07
2.0100e+03,6.6514e-07
2.0200e+03,6.6464e-07
2.0300e+03,6.6411e-07
2.0400e+03,6.6356e-07
2.0500e+03,6.6299e-07
2.0600e+03,6.6240e-07
2.0700e+03,6.6179e-07
2.0800e+03,6.6118e-07
2.0900e+03,6.6055e-07
2.1000e+03,6.5993e-07
2.1100e+03,6.5931e-07
2.1200e+03,6.5870e-07
2.1300e+03,6.5810e-07
2.1400e+03,6.5753e-07
2.1500e+03,6.5700e-07
2.1600e+03,6.5650e-07
2.1700e+03,6.5604e-07
2.1800e+03,6.5564e-07
2.1900e+03,6.5530e-07
2.2000e+03,6.5501e-07
2.2100e+03,6.5479e-07
2.2200e+03,6.5464e-07
2.2300e+03,6.5455e-07
2.2400e+03,6.5453e-07
2.2500e+03,6.5457e-07
2.2600e+03,6.5468e-07
2.2700e+03,6.5483e-07
2.2800e+03,6.5504e-07
2.2900e+03,6.5530e-07
2.3000e+03,6.5559e-07
2.3100e+03,6.5592e-07
2.3200e+03,6.5626e-07
2.3300e+03,6.5663e-07
2.3400e+03,6.5701e-07
2.3500e+03,6.5740e-07
2.3600e+03,6.5778e-07
2.3700e+03,6.5817e-07
2.3800e+03,6.5855e-07
2.3900e+03,6.5893e-07
2.4000e+03,6.5929e-07
2.4100e+03,6.5964e-07
2.4200e+03,6.5998e-07
2.4300e+03,6.6030e-07
2.4400e+03,6.6061e-07
2.4500e+03,6.6090e-07
2.4600e+03,6.6117e-07
2.4700e+03,6.6142e-07
2.4800e+03,6.6166e-07
2.4900e+03,6.6187e-07
2.5000e+03,6.6207e-07
2.5100e+03,6.6225e-07
2.5200e+03,6.6241e-07
2.5300e+03,6.6256e-07
2.5400e+03,6.6268e-07
2.5500e+03,6.6279e-07
2.5600e+03,6.6288e-07
2.5700e+03,6.6296e-07
2.5800e+03,6.6301e-07
2.5900e+03,6.6306e-07
2.6000e+03,6.6309e-07
2.6100e+03,6.6311e-07
2.6200e+03,6.6311e-07
2.6300e+03,6.6311e-07
2.6400e+03,6.6309e-07
2.6500e+03,6.6306e-07
2.6600e+03,6.6303e-07
2.6700e+03,6.6299e-07
2.6800e+03,6.6293e-07
2.6900e+03,6.6288e-07
2.7000e+03,6.6281e-07
2.7100e+03,6.6273e-07
2.7200e+03,6.6265e-07
2.7300e+03,6.6256e-07
2.7400e+03,6.6247e-07
2.7500e+03,6.6236e-07
2.7600e+03,6.6226e-07
2.7700e+03,6.6214e-07
2.7800e+03,6.6203e-07
2.7900e+03,6.6191e-07
2.8000e+03,6.6178e-07
2.8100e+03,6.6166e-07
2.8200e+03,6.6153e-07
2.8300e+03,6.6140e-07
2.8400e+03,6.6127e-07
2.8500e+03,6.6113e-07
2.8600e+03,6.6100e-07
2.8700e+03,6.6088e-07
2.8800e+03,6.6075e-07
2.8900e+03,6.6064e-07
2.9000e+03,6.6052e-07
2.9100e+03,6.6042e-07
2.9200e+03,6.6034e-07
2.9300e+03,6.6027e-07
2.9400e+03,6.6021e-07
2.9500e+03,6.6019e-07
2.9600e+03,6.6018e-07
2.9700e+03,6.6021e-07
2.9800e+03,6.6028e-07
2.9900e+03,6.6038e-07
3.0000e+03,6.6052e-07
3.0100e+03,6.6070e-07
3.0200e+03,6.6092e-07
3.0300e+03,6.6118e-07
3.0400e+03,6.6148e-07
3.0500e+03,6.6182e-07
3.0600e+03,6.6219e-07
3.0700e+03,6.6260e-07
3.0800e+03,6.6304e-07
3.0900e+03,6.6349e-07
