# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,5.7934e-10
2.0000e+01,6.4694e-10
3.0000e+01,5.0322e-10
4.0000e+01,3.7848e-10
5.0000e+01,3.0603e-10
6.0000e+01,2.6865e-10
7.0000e+01,2.4948e-10
8.0000e+01,2.3945e-10
9.0000e+01,2.3409e-10
1.0000e+02,2.3112e-10
1.1000e+02,2.2942e-10
1.2000e+02,2.2839e-10
1.3000e+02,2.2780e-10
1.4000e+02,2.2748e-10
1.5000e+02,2.2728e-10
1.6000e+02,2.2710e-10
1.7000e+02,2.2691e-10
1.8000e+02,2.2679e-10
1.9000e+02,2.2679e-10
2.0000e+02,2.2685e-10
2.1000e+02,2.2702e-10
2.2000e+02,2.2694e-10
2.3000e+02,2.2718e-10
2.4000e+02,2.2679e-10
2.5000e+02,2.2694e-10
2.6000e+02,2.2698e-10
2.7000e+02,2.2643e-10
2.8000e+02,2.2636e-10
2.9000e+02,2.2739e-10
3.0000e+02,2.2690e-10
3.1000e+02,2.2466e-10
3.2000e+02,2.2460e-10
3.3000e+02,2.2720e-10
3.4000e+02,2.2829e-10
3.5000e+02,2.2554e-10
3.6000e+02,2.2326e-10
3.7000e+02,2.2433e-10
3.8000e+02,2.2642e-10
3.9000e+02,2.2764e-10
4.0000e+02,2.2783e-10
4.1000e+02,2.2710e-10
4.2000e+02,2.2674e-10
4.3000e+02,2.2735e-10
4.4000e+02,2.2928e-10
4.5000e+02,2.3085e-10
4.6000e+02,2.3041e-10
4.7000e+02,2.2927e-10
4.8000e+02,2.2774e-10
4.9000e+02,2.2691e-10
5.0000e+02,2.2669e-10
5.1000e+02,2.2680e-10
5.2000e+02,2.2700e-10
5.3000e+02,2.2704e-10
5.4000e+02,2.2676e-10
5.5000e+02,2.2577e-10
5.6000e+02,2.2412e-10
5.7000e+02,2.2223e-10
5.8000e+02,2.1848e-10
5.9000e+02,2.1539e-10
6.0000e+02,2.1829e-10
6.1000e+02,2.2600e-10
6.2000e+02,2.2787e-10
6.3000e+02,2.2059e-10
6.4000e+02,2.1208e-10
6.5000e+02,2.1344e-10
6.6000e+02,2.2391e-10
6.7000e+02,2.3779e-10
6.8000e+02,2.4357e-10
6.9000e+02,2.3157e-10
7.0000e+02,2.1833e-10
7.1000e+02,2.1668e-10
7.2000e+02,2.2234e-10
7.3000e+02,2.3552e-10
7.4000e+02,2.4648e-10
7.5000e+02,2.4457e-10
7.6000e+02,2.3639e-10
7.7000e+02,2.2866e-10
7.8000e+02,2.2185e-10
7.9000e+02,2.1445e-10
8.0000e+02,2.0985e-10
8.1000e+02,2.1274e-10
8.2000e+02,2.1870e-10
8.3000e+02,2.3157e-10
8.4000e+02,2.4384e-10
8.5000e+02,2.4270e-10
8.6000e+02,2.3375e-10
8.7000e+02,2.2869e-10
8.8000e+02,2.2481e-10
8.9000e+02,2.1625e-10
9.0000e+02,1.9984e-10
9.1000e+02,1.8981e-10
9.2000e+02,2.0289e-10
9.3000e+02,2.2222e-10
9.4000e+02,2.3602e-10
9.5000e+02,2.3273e-10
9.6000e+02,2.2011e-10
9.7000e+02,2.2701e-10
9.8000e+02,2.4780e-10
9.9000e+02,2.5774e-10
1.0000e+03,2.4855e-10
1.0100e+03,2.1830e-10
1.0200e+03,1.9757e-10
1.0300e+03,2.1157e-10
1.0400e+03,2.2124e-10
1.0500e+03,2.0993e-10
1.0600e+03,2.0275e-10
1.0700e+03,1.9355e-10
1.0800e+03,1.9480e-10
1.0900e+03,2.2489e-10
1.1000e+03,2.7249e-10
1.1100e+03,2.8400e-10
1.1200e+03,2.6597e-10
1.1300e+03,2.4911e-10
1.1400e+03,2.3855e-10
1.1500e+03,2.3132e-10
1.1600e+03,2.2323e-10
1.1700e+03,2.2361e-10
1.1800e+03,2.2952e-10
1.1900e+03,2.2962e-10
1.2000e+03,2.2455e-10
1.2100e+03,2.1980e-10
1.2200e+03,2.1754e-10
1.2300e+03,2.1680e-10
1.2400e+03,2.2220e-10
1.2500e+03,2.3475e-10
1.2600e+03,2.4258e-10
1.2700e+03,2.3876e-10
1.2800e+03,2.3109e-10
