# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,1.8213e-08
2.0000e+01,3.6297e-08
3.0000e+01,5.4123e-08
4.0000e+01,7.1575e-08
5.0000e+01,8.8543e-08
6.0000e+01,1.0493e-07
7.0000e+01,1.2066e-07
8.0000e+01,1.3568e-07
9.0000e+01,1.4992e-07
1.0000e+02,1.6336e-07
1.1000e+02,1.7599e-07
1.2000e+02,1.8780e-07
1.3000e+02,1.9880e-07
1.4000e+02,2.0902e-07
1.5000e+02,2.1847e-07
1.6000e+02,2.2720e-07
1.7000e+02,2.3524e-07
1.8000e+02,2.4264e-07
1.9000e+02,2.4942e-07
2.0000e+02,2.5565e-07
2.1000e+02,2.6136e-07
2.2000e+02,2.6658e-07
2.3000e+02,2.7137e-07
2.4000e+02,2.7574e-07
2.5000e+02,2.7975e-07
2.6000e+02,2.8342e-07
2.7000e+02,2.8678e-07
2.8000e+02,2.8986e-07
2.9000e+02,2.9267e-07
3.0000e+02,2.9526e-07
3.1000e+02,2.9762e-07
3.2000e+02,2.9979e-07
3.3000e+02,3.0178e-07
3.4000e+02,3.0360e-07
3.5000e+02,3.0527e-07
3.6000e+02,3.0680e-07
3.7000e+02,3.0821e-07
3.8000e+02,3.0950e-07
3.9000e+02,3.1068e-07
4.0000e+02,3.1176e-07
4.1000e+02,3.1276e-07
4.2000e+02,3.1367e-07
4.3000e+02,3.1451e-07
4.4000e+02,3.1528e-07
4.5000e+02,3.1599e-07
4.6000e+02,3.1664e-07
4.7000e+02,3.1724e-07
4.8000e+02,3.1780e-07
4.9000e+02,3.1832e-07
5.0000e+02,3.1880e-07
5.1000e+02,3.1926e-07
5.2000e+02,3.1968e-07
5.3000e+02,3.2008e-07
5.4000e+02,3.2046e-07
5.5000e+02,3.2083e-07
5.6000e+02,3.2117e-07
5.7000e+02,3.2151e-07
5.8000e+02,3.2183e-07
5.9000e+02,3.2215e-07
6.0000e+02,3.2245e-07
6.1000e+02,3.2275e-07
6.2000e+02,3.2305e-07
6.3000e+02,3.2334e-07
6.4000e+02,3.2362e-07
6.5000e+02,3.2391e-07
6.6000e+02,3.2419e-07
6.7000e+02,3.2447e-07
6.8000e+02,3.2475e-07
6.9000e+02,3.2503e-07
7.0000e+02,3.2531e-07
7.1000e+02,3.2560e-07
7.2000e+02,3.2589e-07
7.3000e+02,3.2619e-07
7.4000e+02,3.2649e-07
7.5000e+02,3.2680e-07
7.6000e+02,3.2711e-07
7.7000e+02,3.2743e-07
7.8000e+02,3.2775e-07
7.9000e+02,3.2806e-07
8.0000e+02,3.2838e-07
8.1000e+02,3.2868e-07
8.2000e+02,3.2898e-07
8.3000e+02,3.2925e-07
8.4000e+02,3.2951e-07
8.5000e+02,3.2975e-07
8.6000e+02,3.2995e-07
8.7000e+02,3.3013e-07
8.8000e+02,3.3027e-07
8.9000e+02,3.3036e-07
9.0000e+02,3.3042e-07
9.1000e+02,3.3044e-07
9.2000e+02,3.3042e-07
9.3000e+02,3.3036e-07
9.4000e+02,3.3026e-07
9.5000e+02,3.3013e-07
9.6000e+02,3.2997e-07
9.7000e+02,3.2979e-07
9.8000e+02,3.2959e-07
9.9000e+02,3.2938e-07
1.0000e+03,3.2916e-07
1.0100e+03,3.2895e-07
1.0200e+03,3.2876e-07
1.0300e+03,3.2857e-07
1.0400e+03,3.2842e-07
1.0500e+03,3.2830e-07
1.0600e+03,3.2821e-07
1.0700e+03,3.2816e-07
1.0800e+03,3.2816e-07
