# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,9.4794e-06
2.0000e+01,1.7081e-05
3.0000e+01,2.2190e-05
4.0000e+01,2.5253e-05
5.0000e+01,2.6992e-05
6.0000e+01,2.7974e-05
7.0000e+01,2.8546e-05
8.0000e+01,2.8894e-05
9.0000e+01,2.9117e-05
1.0000e+02,2.9266e-05
1.1000e+02,2.9370e-05
1.2000e+02,2.9444e-05
1.3000e+02,2.9499e-05
1.4000e+02,2.9539e-05
1.5000e+02,2.9570e-05
1.6000e+02,2.9594e-05
1.7000e+02,2.9613e-05
1.8000e+02,2.9628e-05
1.9000e+02,2.9640e-05
2.0000e+02,2.9650e-05
2.1000e+02,2.9659e-05
2.2000e+02,2.9667e-05
2.3000e+02,2.9673e-05
2.4000e+02,2.9677e-05
2.5000e+02,2.9680e-05
2.6000e+02,2.9682e-05
2.7000e+02,2.9684e-05
2.8000e+02,2.9685e-05
2.9000e+02,2.9687e-05
3.0000e+02,2.9689e-05
3.1000e+02,2.9691e-05
3.2000e+02,2.9692e-05
3.3000e+02,2.9696e-05
3.4000e+02,2.9698e-05
3.5000e+02,2.9697e-05
3.6000e+02,2.9691e-05
3.7000e+02,2.9685e-05
3.8000e+02,2.9683e-05
3.9000e+02,2.9682e-05
4.0000e+02,2.9681e-05
4.1000e+02,2.9673e-05
4.2000e+02,2.9661e-05
4.3000e+02,2.9646e-05
4.4000e+02,2.9635e-05
4.5000e+02,2.9627e-05
4.6000e+02,2.9624e-05
4.7000e+02,2.9623e-05
4.8000e+02,2.9623e-05
4.9000e+02,2.9623e-05
5.0000e+02,2.9623e-05
5.1000e+02,2.9623e-05
5.2000e+02,2.9623e-05
5.3000e+02,2.9623e-05
5.4000e+02,2.9623e-05
5.5000e+02,2.9623e-05
5.6000e+02,2.9623e-05
5.7000e+02,2.9622e-05
5.8000e+02,2.9620e-05
5.9000e+02,2.9617e-05
6.0000e+02,2.9611e-05
6.1000e+02,2.9602e-05
6.2000e+02,2.9592e-05
6.3000e+02,2.9585e-05
6.4000e+02,2.9579e-05
6.5000e+02,2.9567e-05
6.6000e+02,2.9544e-05
6.7000e+02,2.9511e-05
6.8000e+02,2.9479e-05
6.9000e+02,2.9461e-05
7.0000e+02,2.9455e-05
7.1000e+02,2.9451e-05
7.2000e+02,2.9442e-05
7.3000e+02,2.9426e-05
7.4000e+02,2.9411e-05
7.5000e+02,2.9403e-05
7.6000e+02,2.9402e-05
7.7000e+02,2.9406e-05
7.8000e+02,2.9409e-05
7.9000e+02,2.9407e-05
8.0000e+02,2.9399e-05
8.1000e+02,2.9387e-05
8.2000e+02,2.9374e-05
8.3000e+02,2.9363e-05
8.4000e+02,2.9356e-05
8.5000e+02,2.9354e-05
8.6000e+02,2.9357e-05
8.7000e+02,2.9360e-05
8.8000e+02,2.9361e-05
8.9000e+02,2.9359e-05
9.0000e+02,2.9356e-05
9.1000e+02,2.9347e-05
9.2000e+02,2.9326e-05
9.3000e+02,2.9294e-05
9.4000e+02,2.9258e-05
9.5000e+02,2.9225e-05
9.6000e+02,2.9197e-05
9.7000e+02,2.9173e-05
9.8000e+02,2.9153e-05
9.9000e+02,2.9137e-05
1.0000e+03,2.9127e-05
1.0100e+03,2.9120e-05
1.0200e+03,2.9106e-05
1.0300e+03,2.9077e-05
1.0400e+03,2.9037e-05
1.0500e+03,2.8998e-05
1.0600e+03,2.8966e-05
1.0700e+03,2.8939e-05
1.0800e+03,2.8910e-05
1.0900e+03,2.8876e-05
1.1000e+03,2.8838e-05
1.1100e+03,2.8810e-05
1.1200e+03,2.8799e-05
1.1300e+03,2.8802e-05
1.1400e+03,2.8810e-05
1.1500e+03,2.8818e-05
1.1600e+03,2.8825e-05
1.1700e+03,2.8829e-05
1.1800e+03,2.8830e-05
1.1900e+03,2.8828e-05
1.2000e+03,2.8823e-05
1.2100e+03,2.8813e-05
1.2200e+03,2.8799e-05
1.2300e+03,2.8781e-05
1.2400e+03,2.8761e-05
1.2500e+03,2.8742e-05
1.2600e+03,2.8729e-05
1.2700e+03,2.8726e-05
1.2800e+03,2.8729e-05
1.2900e+03,2.8734e-05
1.3000e+03,2.8736e-05
1.3100e+03,2.8735e-05
1.3200e+03,2.8733e-05
1.3300e+03,2.8727e-05
1.3400e+03,2.8716e-05
1.3500e+03,2.8699e-05
1.3600e+03,2.8678e-05
1.3700e+03,2.8658e-05
1.3800e+03,2.8641e-05
1.3900e+03,2.8626e-05
1.4000e+03,2.8613e-05
1.4100e+03,2.8603e-05
1.4200e+03,2.8595e-05
1.4300e+03,2.8589e-05
1.4400e+03,2.8585e-05
1.4500e+03,2.8582e-05
1.4600e+03,2.8580e-05
1.4700e+03,2.8580e-05
1.4800e+03,2.8580e-05
1.4900e+03,2.8580e-05
1.5000e+03,2.8580e-05
1.5100e+03,2.8580e-05
1.5200e+03,2.8580e-05
1.5300e+03,2.8580e-05
1.5400e+03,2.8579e-05
1.5500e+03,2.8578e-05
1.5600e+03,2.8577e-05
1.5700e+03,2.8576e-05
1.5800e+03,2.8576e-05
1.5900e+03,2.8575e-05
1.6000e+03,2.8571e-05
1.6100e+03,2.8564e-05
1.6200e+03,2.8554e-05
1.6300e+03,2.8540e-05
1.6400e+03,2.8526e-05
1.6500e+03,2.8513e-05
1.6600e+03,2.8502e-05
1.6700e+03,2.8493e-05
1.6800e+03,2.8489e-05
1.6900e+03,2.8486e-05
1.7000e+03,2.8481e-05
1.7100e+03,2.8472e-05
1.7200e+03,2.8459e-05
1.7300e+03,2.8447e-05
1.7400e+03,2.8436e-05
1.7500e+03,2.8426e-05
1.7600e+03,2.8418e-05
1.7700e+03,2.8415e-05
1.7800e+03,2.8414e-05
1.7900e+03,2.8416e-05
1.8000e+03,2.8418e-05
1.8100e+03,2.8418e-05
1.8200e+03,2.8413e-05
1.8300e+03,2.8404e-05
1.8400e+03,2.8391e-05
1.8500e+03,2.8374e-05
1.8600e+03,2.8358e-05
1.8700e+03,2.8348e-05
1.8800e+03,2.8347e-05
1.8900e+03,2.8351e-05
1.9000e+03,2.8352e-05
1.9100e+03,2.8349e-05
1.9200e+03,2.8343e-05
1.9300e+03,2.8335e-05
1.9400e+03,2.8322e-05
1.9500e+03,2.8302e-05
1.9600e+03,2.8280e-05
1.9700e+03,2.8262e-05
1.9800e+03,2.8247e-05
1.9900e+03,2.8232e-05
2.0000e+03,2.8213e-05
2.0100e+03,2.8190e-05
2.0200e+03,2.8165e-05
2.0300e+03,2.8145e-05
2.0400e+03,2.8139e-05
2.0500e+03,2.8144e-05
2.0600e+03,2.8145e-05
2.0700e+03,2.8137e-05
2.0800e+03,2.8129e-05
2.0900e+03,2.8128e-05
2.1000e+03,2.8128e-05
2.1100e+03,2.8120e-05
2.1200e+03,2.8109e-05
2.1300e+03,2.8106e-05
2.1400e+03,2.8111e-05
2.1500e+03,2.8108e-05
2.1600e+03,2.8089e-05
2.1700e+03,2.8062e-05
2.1800e+03,2.8041e-05
2.1900e+03,2.8030e-05
2.2000e+03,2.8024e-05
2.2100e+03,2.8014e-05
2.2200e+03,2.7996e-05
2.2300e+03,2.7978e-05
2.2400e+03,2.7970e-05
2.2500e+03,2.7976e-05
2.2600e+03,2.7990e-05
2.2700e+03,2.7996e-05
2.2800e+03,2.7992e-05
2.2900e+03,2.7985e-05
2.3000e+03,2.7980e-05
2.3100e+03,2.7977e-05
2.3200e+03,2.7973e-05
2.3300e+03,2.7966e-05
2.3400e+03,2.7957e-05
2.3500e+03,2.7949e-05
2.3600e+03,2.7947e-05
2.3700e+03,2.7950e-05
2.3800e+03,2.7950e-05
2.3900e+03,2.7945e-05
2.4000e+03,2.7938e-05
2.4100e+03,2.7935e-05
2.4200e+03,2.7939e-05
2.4300e+03,2.7942e-05
2.4400e+03,2.7940e-05
2.4500e+03,2.7931e-05
2.4600e+03,2.7919e-05
2.4700e+03,2.7905e-05
2.4800e+03,2.7892e-05
2.4900e+03,2.7881e-05
2.5000e+03,2.7872e-05
2.5100e+03,2.7865e-05
2.5200e+03,2.7862e-05
2.5300e+03,2.7861e-05
2.5400e+03,2.7861e-05
2.5500e+03,2.7860e-05
2.5600e+03,2.7857e-05
2.5700e+03,2.7854e-05
2.5800e+03,2.7851e-05
2.5900e+03,2.7847e-05
2.6000e+03,2.7844e-05
2.6100e+03,2.7842e-05
2.6200e+03,2.7842e-05
2.6300e+03,2.7844e-05
2.6400e+03,2.7847e-05
2.6500e+03,2.7846e-05
2.6600e+03,2.7835e-05
2.6700e+03,2.7813e-05
2.6800e+03,2.7785e-05
2.6900e+03,2.7764e-05
2.7000e+03,2.7767e-05
2.7100e+03,2.7798e-05
2.7200e+03,2.7844e-05
2.7300e+03,2.7879e-05
2.7400e+03,2.7883e-05
2.7500e+03,2.7858e-05
2.7600e+03,2.7817e-05
2.7700e+03,2.7775e-05
2.7800e+03,2.7738e-05
2.7900e+03,2.7708e-05
2.8000e+03,2.7682e-05
2.8100e+03,2.7661e-05
2.8200e+03,2.7643e-05
2.8300e+03,2.7630e-05
2.8400e+03,2.7620e-05
2.8500e+03,2.7613e-05
2.8600e+03,2.7616e-05
2.8700e+03,2.7634e-05
2.8800e+03,2.7665e-05
2.8900e+03,2.7697e-05
