# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,1.3104e-09
2.0000e+01,2.6109e-09
3.0000e+01,3.8920e-09
4.0000e+01,5.1449e-09
5.0000e+01,6.3615e-09
6.0000e+01,7.5351e-09
7.0000e+01,8.6600e-09
8.0000e+01,9.7319e-09
9.0000e+01,1.0748e-08
1.0000e+02,1.1706e-08
1.1000e+02,1.2606e-08
1.2000e+02,1.3447e-08
1.3000e+02,1.4232e-08
1.4000e+02,1.4961e-08
1.5000e+02,1.5636e-08
1.6000e+02,1.6261e-08
1.7000e+02,1.6838e-08
1.8000e+02,1.7369e-08
1.9000e+02,1.7859e-08
2.0000e+02,1.8309e-08
2.1000e+02,1.8722e-08
2.2000e+02,1.9102e-08
2.3000e+02,1.9451e-08
2.4000e+02,1.9771e-08
2.5000e+02,2.0065e-08
2.6000e+02,2.0335e-08
2.7000e+02,2.0582e-08
2.8000e+02,2.0809e-08
2.9000e+02,2.1018e-08
3.0000e+02,2.1209e-08
3.1000e+02,2.1385e-08
3.2000e+02,2.1546e-08
3.3000e+02,2.1694e-08
3.4000e+02,2.1829e-08
3.5000e+02,2.1954e-08
3.6000e+02,2.2068e-08
3.7000e+02,2.2173e-08
3.8000e+02,2.2269e-08
3.9000e+02,2.2357e-08
4.0000e+02,2.2438e-08
4.1000e+02,2.2512e-08
4.2000e+02,2.2581e-08
4.3000e+02,2.2643e-08
4.4000e+02,2.2701e-08
4.5000e+02,2.2755e-08
4.6000e+02,2.2804e-08
4.7000e+02,2.2850e-08
4.8000e+02,2.2893e-08
4.9000e+02,2.2933e-08
5.0000e+02,2.2970e-08
5.1000e+02,2.3006e-08
5.2000e+02,2.3039e-08
5.3000e+02,2.3071e-08
5.4000e+02,2.3102e-08
5.5000e+02,2.3131e-08
5.6000e+02,2.3159e-08
5.7000e+02,2.3186e-08
5.8000e+02,2.3213e-08
5.9000e+02,2.3238e-08
6.0000e+02,2.3263e-08
6.1000e+02,2.3288e-08
6.2000e+02,2.3312e-08
6.3000e+02,2.3335e-08
6.4000e+02,2.3359e-08
6.5000e+02,2.3382e-08
6.6000e+02,2.3404e-08
6.7000e+02,2.3427e-08
6.8000e+02,2.3450e-08
6.9000e+02,2.3474e-08
7.0000e+02,2.3497e-08
7.1000e+02,2.3521e-08
7.2000e+02,2.3546e-08
7.3000e+02,2.3571e-08
7.4000e+02,2.3596e-08
7.5000e+02,2.3622e-08
7.6000e+02,2.3649e-08
7.7000e+02,2.3675e-08
7.8000e+02,2.3702e-08
7.9000e+02,2.3728e-08
8.0000e+02,2.3753e-08
8.1000e+02,2.3777e-08
8.2000e+02,2.3799e-08
8.3000e+02,2.3820e-08
8.4000e+02,2.3839e-08
8.5000e+02,2.3855e-08
8.6000e+02,2.3868e-08
8.7000e+02,2.3878e-08
8.8000e+02,2.3886e-08
8.9000e+02,2.3890e-08
9.0000e+02,2.3891e-08
9.1000e+02,2.3890e-08
9.2000e+02,2.3886e-08
9.3000e+02,2.3879e-08
9.4000e+02,2.3871e-08
9.5000e+02,2.3860e-08
9.6000e+02,2.3849e-08
9.7000e+02,2.3837e-08
9.8000e+02,2.3826e-08
9.9000e+02,2.3814e-08
1.0000e+03,2.3804e-08
1.0100e+03,2.3796e-08
1.0200e+03,2.3789e-08
1.0300e+03,2.3786e-08
1.0400e+03,2.3785e-08
1.0500e+03,2.3787e-08
1.0600e+03,2.3793e-08
1.0700e+03,2.3803e-08
1.0800e+03,2.3816e-08
1.0900e+03,2.3833e-08
1.1000e+03,2.3854e-08
1.1100e+03,2.3878e-08
1.1200e+03,2.3906e-08
1.1300e+03,2.3936e-08
1.1400e+03,2.3969e-08
1.1500e+03,2.4005e-08
1.1600e+03,2.4042e-08
1.1700e+03,2.4081e-08
1.1800e+03,2.4121e-08
1.1900e+03,2.4162e-08
1.2000e+03,2.4203e-08
1.2100e+03,2.4244e-08
1.2200e+03,2.4285e-08
1.2300e+03,2.4326e-08
1.2400e+03,2.4366e-08
1.2500e+03,2.4405e-08
1.2600e+03,2.4443e-08
1.2700e+03,2.4480e-08
1.2800e+03,2.4515e-08
1.2900e+03,2.4549e-08
1.3000e+03,2.4581e-08
1.3100e+03,2.4611e-08
1.3200e+03,2.4640e-08
1.3300e+03,2.4666e-08
1.3400e+03,2.4690e-08
1.3500e+03,2.4712e-08
1.3600e+03,2.4733e-08
1.3700e+03,2.4751e-08
1.3800e+03,2.4766e-08
1.3900e+03,2.4780e-08
1.4000e+03,2.4792e-08
1.4100e+03,2.4802e-08
1.4200e+03,2.4810e-08
1.4300e+03,2.4816e-08
1.4400e+03,2.4821e-08
1.4500e+03,2.4824e-08
1.4600e+03,2.4826e-08
1.4700e+03,2.4827e-08
1.4800e+03,2.4827e-08
1.4900e+03,2.4825e-08
1.5000e+03,2.4823e-08
1.5100e+03,2.4819e-08
1.5200e+03,2.4815e-08
1.5300e+03,2.4810e-08
1.5400e+03,2.4804e-08
1.5500e+03,2.4798e-08
1.5600e+03,2.4790e-08
1.5700e+03,2.4782e-08
1.5800e+03,2.4773e-08
1.5900e+03,2.4763e-08
1.6000e+03,2.4753e-08
1.6100e+03,2.4742e-08
1.6200e+03,2.4730e-08
1.6300e+03,2.4717e-08
1.6400e+03,2.4704e-08
1.6500e+03,2.4691e-08
1.6600e+03,2.4677e-08
1.6700e+03,2.4663e-08
1.6800e+03,2.4648e-08
1.6900e+03,2.4633e-08
1.7000e+03,2.4618e-08
1.7100e+03,2.4603e-08
1.7200e+03,2.4588e-08
1.7300e+03,2.4573e-08
1.7400e+03,2.4558e-08
1.7500e+03,2.4544e-08
1.7600e+03,2.4529e-08
1.7700e+03,2.4515e-08
1.7800e+03,2.4501e-08
1.7900e+03,2.4488e-08
1.8000e+03,2.4474e-08
1.8100e+03,2.4461e-08
1.8200e+03,2.4448e-08
1.8300e+03,2.4435e-08
1.8400e+03,2.4421e-08
1.8500e+03,2.4408e-08
1.8600e+03,2.4394e-08
1.8700e+03,2.4380e-08
1.8800e+03,2.4366e-08
1.8900e+03,2.4351e-08
1.9000e+03,2.4335e-08
1.9100e+03,2.4319e-08
1.9200e+03,2.4303e-08
1.9300e+03,2.4286e-08
1.9400e+03,2.4269e-08
1.9500e+03,2.4251e-08
1.9600e+03,2.4234e-08
1.9700e+03,2.4215e-08
1.9800e+03,2.4197e-08
1.9900e+03,2.4178e-08
2.0000e+03,2.4159e-08
2.0100e+03,2.4140e-08
2.0200e+03,2.4121e-08
2.0300e+03,2.4102e-08
2.0400e+03,2.4083e-08
2.0500e+03,2.4065e-08
2.0600e+03,2.4048e-08
2.0700e+03,2.4031e-08
2.0800e+03,2.4015e-08
2.0900e+03,2.4000e-08
2.1000e+03,2.3987e-08
2.1100e+03,2.3976e-08
2.1200e+03,2.3967e-08
2.1300e+03,2.3959e-08
2.1400e+03,2.3954e-08
2.1500e+03,2.3951e-08
2.1600e+03,2.3951e-08
2.1700e+03,2.3953e-08
2.1800e+03,2.3956e-08
2.1900e+03,2.3962e-08
2.2000e+03,2.3970e-08
2.2100e+03,2.3980e-08
2.2200e+03,2.3990e-08
2.2300e+03,2.4002e-08
2.2400e+03,2.4014e-08
2.2500e+03,2.4027e-08
2.2600e+03,2.4041e-08
2.2700e+03,2.4054e-08
2.2800e+03,2.4067e-08
2.2900e+03,2.4080e-08
2.3000e+03,2.4093e-08
2.3100e+03,2.4106e-08
2.3200e+03,2.4118e-08
2.3300e+03,2.4129e-08
2.3400e+03,2.4141e-08
2.3500e+03,2.4152e-08
2.3600e+03,2.4163e-08
2.3700e+03,2.4173e-08
2.3800e+03,2.4183e-08
2.3900e+03,2.4193e-08
2.4000e+03,2.4202e-08
