# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,4.8637e-07
2.0000e+01,9.2176e-07
3.0000e+01,1.2711e-06
4.0000e+01,1.5226e-06
5.0000e+01,1.6855e-06
6.0000e+01,1.7806e-06
7.0000e+01,1.8314e-06
8.0000e+01,1.8573e-06
9.0000e+01,1.8716e-06
1.0000e+02,1.8817e-06
1.1000e+02,1.8909e-06
1.2000e+02,1.8998e-06
1.3000e+02,1.9081e-06
1.4000e+02,1.9156e-06
1.5000e+02,1.9219e-06
1.6000e+02,1.9270e-06
1.7000e+02,1.9310e-06
1.8000e+02,1.9343e-06
1.9000e+02,1.9369e-06
2.0000e+02,1.9390e-06
2.1000e+02,1.9408e-06
2.2000e+02,1.9424e-06
2.3000e+02,1.9437e-06
2.4000e+02,1.9448e-06
2.5000e+02,1.9457e-06
2.6000e+02,1.9465e-06
2.7000e+02,1.9471e-06
2.8000e+02,1.9476e-06
2.9000e+02,1.9480e-06
3.0000e+02,1.9484e-06
3.1000e+02,1.9489e-06
3.2000e+02,1.9493e-06
3.3000e+02,1.9498e-06
3.4000e+02,1.9503e-06
3.5000e+02,1.9509e-06
3.6000e+02,1.9514e-06
3.7000e+02,1.9518e-06
3.8000e+02,1.9521e-06
3.9000e+02,1.9524e-06
4.0000e+02,1.9527e-06
4.1000e+02,1.9530e-06
4.2000e+02,1.9532e-06
4.3000e+02,1.9533e-06
4.4000e+02,1.9533e-06
4.5000e+02,1.9531e-06
4.6000e+02,1.9529e-06
4.7000e+02,1.9528e-06
4.8000e+02,1.9528e-06
4.9000e+02,1.9529e-06
5.0000e+02,1.9530e-06
5.1000e+02,1.9530e-06
5.2000e+02,1.9530e-06
5.3000e+02,1.9529e-06
5.4000e+02,1.9529e-06
5.5000e+02,1.9529e-06
5.6000e+02,1.9529e-06
5.7000e+02,1.9528e-06
5.8000e+02,1.9525e-06
5.9000e+02,1.9520e-06
6.0000e+02,1.9512e-06
6.1000e+02,1.9502e-06
6.2000e+02,1.9488e-06
6.3000e+02,1.9472e-06
6.4000e+02,1.9454e-06
6.5000e+02,1.9434e-06
6.6000e+02,1.9411e-06
6.7000e+02,1.9386e-06
6.8000e+02,1.9362e-06
6.9000e+02,1.9340e-06
7.0000e+02,1.9323e-06
7.1000e+02,1.9312e-06
7.2000e+02,1.9308e-06
7.3000e+02,1.9309e-06
7.4000e+02,1.9316e-06
7.5000e+02,1.9329e-06
7.6000e+02,1.9349e-06
7.7000e+02,1.9374e-06
7.8000e+02,1.9399e-06
7.9000e+02,1.9419e-06
8.0000e+02,1.9427e-06
8.1000e+02,1.9418e-06
8.2000e+02,1.9395e-06
8.3000e+02,1.9367e-06
8.4000e+02,1.9345e-06
8.5000e+02,1.9340e-06
8.6000e+02,1.9353e-06
8.7000e+02,1.9382e-06
8.8000e+02,1.9413e-06
8.9000e+02,1.9433e-06
9.0000e+02,1.9433e-06
9.1000e+02,1.9405e-06
9.2000e+02,1.9352e-06
9.3000e+02,1.9283e-06
9.4000e+02,1.9211e-06
9.5000e+02,1.9149e-06
9.6000e+02,1.9113e-06
9.7000e+02,1.9110e-06
9.8000e+02,1.9141e-06
9.9000e+02,1.9201e-06
1.0000e+03,1.9273e-06
1.0100e+03,1.9338e-06
1.0200e+03,1.9373e-06
1.0300e+03,1.9361e-06
1.0400e+03,1.9295e-06
1.0500e+03,1.9185e-06
1.0600e+03,1.9052e-06
1.0700e+03,1.8919e-06
1.0800e+03,1.8812e-06
1.0900e+03,1.8746e-06
1.1000e+03,1.8731e-06
1.1100e+03,1.8766e-06
1.1200e+03,1.8839e-06
1.1300e+03,1.8934e-06
1.1400e+03,1.9030e-06
1.1500e+03,1.9109e-06
1.1600e+03,1.9161e-06
1.1700e+03,1.9183e-06
1.1800e+03,1.9178e-06
1.1900e+03,1.9155e-06
1.2000e+03,1.9121e-06
1.2100e+03,1.9084e-06
1.2200e+03,1.9045e-06
1.2300e+03,1.9007e-06
1.2400e+03,1.8970e-06
1.2500e+03,1.8937e-06
1.2600e+03,1.8915e-06
1.2700e+03,1.8908e-06
1.2800e+03,1.8921e-06
1.2900e+03,1.8952e-06
1.3000e+03,1.8991e-06
1.3100e+03,1.9028e-06
1.3200e+03,1.9052e-06
1.3300e+03,1.9058e-06
1.3400e+03,1.9047e-06
1.3500e+03,1.9026e-06
1.3600e+03,1.9003e-06
1.3700e+03,1.8987e-06
1.3800e+03,1.8983e-06
1.3900e+03,1.8992e-06
1.4000e+03,1.9009e-06
1.4100e+03,1.9025e-06
1.4200e+03,1.9036e-06
1.4300e+03,1.9038e-06
1.4400e+03,1.9032e-06
1.4500e+03,1.9020e-06
1.4600e+03,1.9007e-06
1.4700e+03,1.8997e-06
1.4800e+03,1.8991e-06
1.4900e+03,1.8990e-06
1.5000e+03,1.8992e-06
1.5100e+03,1.8996e-06
1.5200e+03,1.9000e-06
1.5300e+03,1.9001e-06
1.5400e+03,1.9000e-06
1.5500e+03,1.8995e-06
1.5600e+03,1.8990e-06
1.5700e+03,1.8985e-06
1.5800e+03,1.8983e-06
1.5900e+03,1.8985e-06
1.6000e+03,1.8990e-06
1.6100e+03,1.8994e-06
1.6200e+03,1.8992e-06
1.6300e+03,1.8980e-06
1.6400e+03,1.8958e-06
1.6500e+03,1.8931e-06
1.6600e+03,1.8906e-06
1.6700e+03,1.8893e-06
1.6800e+03,1.8895e-06
1.6900e+03,1.8913e-06
1.7000e+03,1.8939e-06
1.7100e+03,1.8963e-06
1.7200e+03,1.8977e-06
1.7300e+03,1.8978e-06
1.7400e+03,1.8968e-06
1.7500e+03,1.8954e-06
1.7600e+03,1.8940e-06
1.7700e+03,1.8931e-06
1.7800e+03,1.8926e-06
1.7900e+03,1.8922e-06
1.8000e+03,1.8916e-06
1.8100e+03,1.8906e-06
1.8200e+03,1.8890e-06
1.8300e+03,1.8871e-06
1.8400e+03,1.8852e-06
1.8500e+03,1.8836e-06
1.8600e+03,1.8826e-06
1.8700e+03,1.8821e-06
1.8800e+03,1.8820e-06
1.8900e+03,1.8822e-06
1.9000e+03,1.8825e-06
1.9100e+03,1.8828e-06
1.9200e+03,1.8831e-06
1.9300e+03,1.8835e-06
1.9400e+03,1.8839e-06
1.9500e+03,1.8846e-06
1.9600e+03,1.8856e-06
1.9700e+03,1.8869e-06
1.9800e+03,1.8883e-06
1.9900e+03,1.8893e-06
2.0000e+03,1.8890e-06
2.0100e+03,1.8871e-06
2.0200e+03,1.8833e-06
2.0300e+03,1.8785e-06
2.0400e+03,1.8737e-06
2.0500e+03,1.8702e-06
2.0600e+03,1.8688e-06
2.0700e+03,1.8695e-06
2.0800e+03,1.8715e-06
2.0900e+03,1.8736e-06
2.1000e+03,1.8746e-06
2.1100e+03,1.8739e-06
2.1200e+03,1.8710e-06
2.1300e+03,1.8663e-06
2.1400e+03,1.8605e-06
2.1500e+03,1.8543e-06
2.1600e+03,1.8489e-06
2.1700e+03,1.8451e-06
2.1800e+03,1.8436e-06
2.1900e+03,1.8443e-06
2.2000e+03,1.8472e-06
2.2100e+03,1.8516e-06
2.2200e+03,1.8569e-06
2.2300e+03,1.8624e-06
2.2400e+03,1.8672e-06
2.2500e+03,1.8713e-06
2.2600e+03,1.8743e-06
2.2700e+03,1.8765e-06
2.2800e+03,1.8777e-06
2.2900e+03,1.8775e-06
2.3000e+03,1.8758e-06
2.3100e+03,1.8723e-06
2.3200e+03,1.8675e-06
2.3300e+03,1.8623e-06
2.3400e+03,1.8578e-06
2.3500e+03,1.8550e-06
2.3600e+03,1.8541e-06
2.3700e+03,1.8550e-06
2.3800e+03,1.8572e-06
2.3900e+03,1.8598e-06
2.4000e+03,1.8622e-06
2.4100e+03,1.8638e-06
2.4200e+03,1.8646e-06
2.4300e+03,1.8646e-06
2.4400e+03,1.8641e-06
2.4500e+03,1.8633e-06
2.4600e+03,1.8625e-06
2.4700e+03,1.8618e-06
2.4800e+03,1.8612e-06
2.4900e+03,1.8609e-06
2.5000e+03,1.8609e-06
2.5100e+03,1.8611e-06
2.5200e+03,1.8614e-06
2.5300e+03,1.8617e-06
2.5400e+03,1.8618e-06
2.5500e+03,1.8618e-06
2.5600e+03,1.8617e-06
2.5700e+03,1.8615e-06
2.5800e+03,1.8611e-06
2.5900e+03,1.8605e-06
2.6000e+03,1.8597e-06
2.6100e+03,1.8585e-06
2.6200e+03,1.8571e-06
2.6300e+03,1.8558e-06
2.6400e+03,1.8547e-06
2.6500e+03,1.8540e-06
2.6600e+03,1.8538e-06
2.6700e+03,1.8540e-06
2.6800e+03,1.8543e-06
2.6900e+03,1.8547e-06
2.7000e+03,1.8548e-06
2.7100e+03,1.8548e-06
2.7200e+03,1.8544e-06
2.7300e+03,1.8541e-06
2.7400e+03,1.8540e-06
2.7500e+03,1.8545e-06
2.7600e+03,1.8557e-06
2.7700e+03,1.8573e-06
2.7800e+03,1.8585e-06
2.7900e+03,1.8585e-06
2.8000e+03,1.8570e-06
2.8100e+03,1.8542e-06
2.8200e+03,1.8510e-06
2.8300e+03,1.8483e-06
2.8400e+03,1.8468e-06
2.8500e+03,1.8464e-06
2.8600e+03,1.8469e-06
2.8700e+03,1.8473e-06
2.8800e+03,1.8469e-06
2.8900e+03,1.8450e-06
2.9000e+03,1.8411e-06
2.9100e+03,1.8355e-06
2.9200e+03,1.8292e-06
2.9300e+03,1.8237e-06
2.9400e+03,1.8207e-06
2.9500e+03,1.8217e-06
2.9600e+03,1.8267e-06
2.9700e+03,1.8346e-06
2.9800e+03,1.8436e-06
2.9900e+03,1.8512e-06
3.0000e+03,1.8560e-06
3.0100e+03,1.8572e-06
3.0200e+03,1.8556e-06
3.0300e+03,1.8528e-06
3.0400e+03,1.8501e-06
3.0500e+03,1.8486e-06
3.0600e+03,1.8485e-06
3.0700e+03,1.8490e-06
3.0800e+03,1.8491e-06
3.0900e+03,1.8474e-06
3.1000e+03,1.8431e-06
3.1100e+03,1.8365e-06
3.1200e+03,1.8283e-06
3.1300e+03,1.8201e-06
3.1400e+03,1.8129e-06
3.1500e+03,1.8075e-06
3.1600e+03,1.8042e-06
3.1700e+03,1.8031e-06
3.1800e+03,1.8040e-06
3.1900e+03,1.8068e-06
3.2000e+03,1.8113e-06
3.2100e+03,1.8171e-06
3.2200e+03,1.8238e-06
3.2300e+03,1.8304e-06
3.2400e+03,1.8361e-06
3.2500e+03,1.8401e-06
3.2600e+03,1.8418e-06
3.2700e+03,1.8409e-06
3.2800e+03,1.8375e-06
3.2900e+03,1.8324e-06
3.3000e+03,1.8263e-06
3.3100e+03,1.8204e-06
3.3200e+03,1.8156e-06
3.3300e+03,1.8127e-06
3.3400e+03,1.8121e-06
3.3500e+03,1.8139e-06
3.3600e+03,1.8174e-06
3.3700e+03,1.8218e-06
3.3800e+03,1.8259e-06
3.3900e+03,1.8287e-06
3.4000e+03,1.8297e-06
3.4100e+03,1.8289e-06
3.4200e+03,1.8268e-06
3.4300e+03,1.8245e-06
3.4400e+03,1.8230e-06
3.4500e+03,1.8231e-06
3.4600e+03,1.8251e-06
3.4700e+03,1.8287e-06
3.4800e+03,1.8329e-06
3.4900e+03,1.8367e-06
3.5000e+03,1.8392e-06
3.5100e+03,1.8402e-06
3.5200e+03,1.8401e-06
3.5300e+03,1.8393e-06
3.5400e+03,1.8382e-06
3.5500e+03,1.8370e-06
3.5600e+03,1.8356e-06
3.5700e+03,1.8340e-06
3.5800e+03,1.8325e-06
3.5900e+03,1.8310e-06
3.6000e+03,1.8297e-06
3.6100e+03,1.8288e-06
3.6200e+03,1.8282e-06
3.6300e+03,1.8280e-06
3.6400e+03,1.8281e-06
3.6500e+03,1.8281e-06
3.6600e+03,1.8277e-06
3.6700e+03,1.8265e-06
3.6800e+03,1.8245e-06
3.6900e+03,1.8219e-06
3.7000e+03,1.8192e-06
3.7100e+03,1.8168e-06
3.7200e+03,1.8153e-06
3.7300e+03,1.8147e-06
3.7400e+03,1.8149e-06
3.7500e+03,1.8161e-06
3.7600e+03,1.8184e-06
3.7700e+03,1.8217e-06
3.7800e+03,1.8260e-06
3.7900e+03,1.8309e-06
3.8000e+03,1.8358e-06
3.8100e+03,1.8402e-06
3.8200e+03,1.8435e-06
3.8300e+03,1.8452e-06
3.8400e+03,1.8448e-06
3.8500e+03,1.8422e-06
3.8600e+03,1.8372e-06
3.8700e+03,1.8299e-06
3.8800e+03,1.8206e-06
3.8900e+03,1.8096e-06
3.9000e+03,1.7976e-06
3.9100e+03,1.7857e-06
3.9200e+03,1.7757e-06
3.9300e+03,1.7695e-06
3.9400e+03,1.7687e-06
3.9500e+03,1.7744e-06
3.9600e+03,1.7860e-06
3.9700e+03,1.8023e-06
3.9800e+03,1.8211e-06
3.9900e+03,1.8401e-06
4.0000e+03,1.8574e-06
4.0100e+03,1.8717e-06
4.0200e+03,1.8826e-06
4.0300e+03,1.8907e-06
4.0400e+03,1.8971e-06
4.0500e+03,1.9031e-06
4.0600e+03,1.9099e-06
4.0700e+03,1.9176e-06
4.0800e+03,1.9261e-06
4.0900e+03,1.9345e-06
4.1000e+03,1.9418e-06
4.1100e+03,1.9472e-06
4.1200e+03,1.9498e-06
4.1300e+03,1.9495e-06
4.1400e+03,1.9467e-06
4.1500e+03,1.9421e-06
4.1600e+03,1.9366e-06
4.1700e+03,1.9312e-06
4.1800e+03,1.9266e-06
4.1900e+03,1.9234e-06
4.2000e+03,1.9216e-06
4.2100e+03,1.9212e-06
4.2200e+03,1.9219e-06
4.2300e+03,1.9235e-06
4.2400e+03,1.9259e-06
4.2500e+03,1.9289e-06
4.2600e+03,1.9322e-06
4.2700e+03,1.9358e-06
4.2800e+03,1.9393e-06
4.2900e+03,1.9424e-06
4.3000e+03,1.9450e-06
4.3100e+03,1.9468e-06
4.3200e+03,1.9476e-06
4.3300e+03,1.9476e-06
4.3400e+03,1.9468e-06
4.3500e+03,1.9454e-06
4.3600e+03,1.9434e-06
4.3700e+03,1.9413e-06
4.3800e+03,1.9393e-06
4.3900e+03,1.9373e-06
4.4000e+03,1.9355e-06
4.4100e+03,1.9338e-06
4.4200e+03,1.9320e-06
4.4300e+03,1.9301e-06
4.4400e+03,1.9281e-06
4.4500e+03,1.9263e-06
