# Time , Flux-Flux
0.0000e+00,3.0915e-09
1.0000e+01,2.7402e-09
2.0000e+01,1.9873e-09
3.0000e+01,1.2825e-09
4.0000e+01,7.9099e-10
5.0000e+01,4.8658e-10
6.0000e+01,3.0491e-10
7.0000e+01,1.9632e-10
8.0000e+01,1.3018e-10
9.0000e+01,8.8829e-11
1.0000e+02,6.2253e-11
1.1000e+02,4.4698e-11
1.2000e+02,3.2821e-11
1.3000e+02,2.4590e-11
1.4000e+02,1.8709e-11
1.5000e+02,1.4401e-11
1.6000e+02,1.1245e-11
1.7000e+02,8.9952e-12
1.8000e+02,7.4264e-12
1.9000e+02,6.2688e-12
2.0000e+02,5.2745e-12
2.1000e+02,4.3000e-12
2.2000e+02,3.3595e-12
2.3000e+02,2.4944e-12
2.4000e+02,1.8363e-12
2.5000e+02,1.4310e-12
2.6000e+02,1.1370e-12
2.7000e+02,1.1309e-12
2.8000e+02,1.3695e-12
2.9000e+02,1.2979e-12
3.0000e+02,9.9182e-13
3.1000e+02,1.4526e-12
3.2000e+02,2.3988e-12
3.3000e+02,2.1459e-12
3.4000e+02,4.4599e-13
3.5000e+02,-5.8600e-13
3.6000e+02,4.8634e-13
3.7000e+02,2.3219e-12
3.8000e+02,2.9180e-12
3.9000e+02,1.8089e-12
4.0000e+02,-1.1067e-13
4.1000e+02,-1.4982e-12
4.2000e+02,-1.5161e-12
4.3000e+02,-4.9024e-13
4.4000e+02,5.3557e-13
4.5000e+02,8.3906e-13
4.6000e+02,5.5711e-13
4.7000e+02,1.9063e-13
4.8000e+02,8.3850e-15
4.9000e+02,-2.2487e-14
5.0000e+02,-2.3193e-14
5.1000e+02,-2.3535e-14
5.2000e+02,-1.4557e-14
5.3000e+02,-8.5388e-15
5.4000e+02,-2.8597e-14
5.5000e+02,-6.5236e-14
5.6000e+02,-1.3513e-14
5.7000e+02,2.0497e-13
5.8000e+02,5.5672e-13
5.9000e+02,1.0723e-12
6.0000e+02,1.5288e-12
6.1000e+02,1.3911e-12
6.2000e+02,4.5241e-13
6.3000e+02,-8.4179e-13
6.4000e+02,-2.0762e-12
6.5000e+02,-3.0595e-12
6.6000e+02,-3.6428e-12
6.7000e+02,-3.6981e-12
6.8000e+02,-3.6544e-12
6.9000e+02,-3.7768e-12
7.0000e+02,-3.4197e-12
7.1000e+02,-2.3789e-12
7.2000e+02,-8.1905e-13
7.3000e+02,8.1585e-13
7.4000e+02,1.5389e-12
7.5000e+02,1.2117e-12
7.6000e+02,6.4898e-13
7.7000e+02,2.8446e-13
7.8000e+02,2.0908e-13
7.9000e+02,4.9373e-13
8.0000e+02,1.2777e-12
8.1000e+02,2.1588e-12
8.2000e+02,2.6147e-12
8.3000e+02,2.5521e-12
8.4000e+02,1.6559e-12
8.5000e+02,3.7700e-13
8.6000e+02,-2.6745e-13
