# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,8.1476e-10
2.0000e+01,1.5985e-09
3.0000e+01,2.3254e-09
4.0000e+01,2.9779e-09
5.0000e+01,3.5476e-09
6.0000e+01,4.0344e-09
7.0000e+01,4.4434e-09
8.0000e+01,4.7832e-09
9.0000e+01,5.0633e-09
1.0000e+02,5.2933e-09
1.1000e+02,5.4820e-09
1.2000e+02,5.6368e-09
1.3000e+02,5.7641e-09
1.4000e+02,5.8691e-09
1.5000e+02,5.9561e-09
1.6000e+02,6.0285e-09
1.7000e+02,6.0890e-09
1.8000e+02,6.1398e-09
1.9000e+02,6.1826e-09
2.0000e+02,6.2188e-09
2.1000e+02,6.2497e-09
2.2000e+02,6.2760e-09
2.3000e+02,6.2987e-09
2.4000e+02,6.3183e-09
2.5000e+02,6.3354e-09
2.6000e+02,6.3504e-09
2.7000e+02,6.3638e-09
2.8000e+02,6.3759e-09
2.9000e+02,6.3868e-09
3.0000e+02,6.3967e-09
3.1000e+02,6.4057e-09
3.2000e+02,6.4139e-09
3.3000e+02,6.4214e-09
3.4000e+02,6.4281e-09
3.5000e+02,6.4342e-09
3.6000e+02,6.4395e-09
3.7000e+02,6.4442e-09
3.8000e+02,6.4482e-09
3.9000e+02,6.4517e-09
4.0000e+02,6.4545e-09
4.1000e+02,6.4568e-09
4.2000e+02,6.4588e-09
4.3000e+02,6.4605e-09
4.4000e+02,6.4619e-09
4.5000e+02,6.4630e-09
4.6000e+02,6.4639e-09
4.7000e+02,6.4645e-09
4.8000e+02,6.4650e-09
4.9000e+02,6.4652e-09
5.0000e+02,6.4654e-09
5.1000e+02,6.4656e-09
5.2000e+02,6.4657e-09
5.3000e+02,6.4659e-09
5.4000e+02,6.4662e-09
5.5000e+02,6.4666e-09
5.6000e+02,6.4671e-09
5.7000e+02,6.4679e-09
5.8000e+02,6.4688e-09
5.9000e+02,6.4698e-09
6.0000e+02,6.4708e-09
6.1000e+02,6.4716e-09
6.2000e+02,6.4721e-09
6.3000e+02,6.4721e-09
6.4000e+02,6.4714e-09
6.5000e+02,6.4701e-09
6.6000e+02,6.4682e-09
6.7000e+02,6.4660e-09
6.8000e+02,6.4638e-09
6.9000e+02,6.4617e-09
7.0000e+02,6.4602e-09
7.1000e+02,6.4595e-09
7.2000e+02,6.4597e-09
7.3000e+02,6.4609e-09
7.4000e+02,6.4630e-09
7.5000e+02,6.4661e-09
7.6000e+02,6.4698e-09
7.7000e+02,6.4741e-09
7.8000e+02,6.4788e-09
7.9000e+02,6.4838e-09
8.0000e+02,6.4889e-09
8.1000e+02,6.4940e-09
8.2000e+02,6.4988e-09
8.3000e+02,6.5032e-09
8.4000e+02,6.5069e-09
8.5000e+02,6.5098e-09
8.6000e+02,6.5118e-09
8.7000e+02,6.5128e-09
8.8000e+02,6.5127e-09
8.9000e+02,6.5115e-09
9.0000e+02,6.5090e-09
9.1000e+02,6.5054e-09
9.2000e+02,6.5004e-09
9.3000e+02,6.4943e-09
9.4000e+02,6.4872e-09
9.5000e+02,6.4792e-09
9.6000e+02,6.4708e-09
9.7000e+02,6.4621e-09
9.8000e+02,6.4534e-09
9.9000e+02,6.4449e-09
1.0000e+03,6.4367e-09
1.0100e+03,6.4289e-09
1.0200e+03,6.4215e-09
1.0300e+03,6.4146e-09
1.0400e+03,6.4083e-09
1.0500e+03,6.4030e-09
1.0600e+03,6.3988e-09
1.0700e+03,6.3958e-09
1.0800e+03,6.3943e-09
1.0900e+03,6.3943e-09
1.1000e+03,6.3956e-09
1.1100e+03,6.3981e-09
1.1200e+03,6.4014e-09
1.1300e+03,6.4053e-09
