# Time , Flux-Flux
0.0000e+00,7.1267e-10
1.0000e+01,6.7264e-10
2.0000e+01,5.7105e-10
3.0000e+01,4.4671e-10
4.0000e+01,3.3122e-10
5.0000e+01,2.3858e-10
6.0000e+01,1.6999e-10
7.0000e+01,1.2123e-10
8.0000e+01,8.7150e-11
9.0000e+01,6.3399e-11
1.0000e+02,4.6757e-11
1.1000e+02,3.4981e-11
1.2000e+02,2.6545e-11
1.3000e+02,2.0417e-11
1.4000e+02,1.5904e-11
1.5000e+02,1.2541e-11
1.6000e+02,1.0016e-11
1.7000e+02,8.1061e-12
1.8000e+02,6.6405e-12
1.9000e+02,5.4815e-12
2.0000e+02,4.5265e-12
2.1000e+02,3.7141e-12
2.2000e+02,3.0207e-12
2.3000e+02,2.4467e-12
2.4000e+02,1.9992e-12
2.5000e+02,1.6759e-12
2.6000e+02,1.4655e-12
2.7000e+02,1.3510e-12
2.8000e+02,1.2927e-12
2.9000e+02,1.2489e-12
3.0000e+02,1.2291e-12
3.1000e+02,1.2526e-12
3.2000e+02,1.2483e-12
3.3000e+02,1.1158e-12
3.4000e+02,9.0528e-13
3.5000e+02,8.0126e-13
3.6000e+02,8.7743e-13
3.7000e+02,9.7681e-13
3.8000e+02,8.9080e-13
3.9000e+02,5.8336e-13
4.0000e+02,2.1377e-13
4.1000e+02,-1.2858e-14
4.2000e+02,-1.2102e-14
4.3000e+02,1.2936e-13
4.4000e+02,2.5171e-13
4.5000e+02,2.6254e-13
4.6000e+02,1.8406e-13
4.7000e+02,8.9718e-14
4.8000e+02,2.6125e-14
4.9000e+02,-4.8307e-15
5.0000e+02,-1.7971e-14
5.1000e+02,-2.1777e-14
5.2000e+02,-1.8682e-14
5.3000e+02,-1.1880e-14
5.4000e+02,-3.0965e-15
5.5000e+02,1.5782e-14
5.6000e+02,6.4366e-14
5.7000e+02,1.5982e-13
5.8000e+02,2.9537e-13
5.9000e+02,4.2784e-13
6.0000e+02,4.8344e-13
6.1000e+02,3.9211e-13
6.2000e+02,1.3161e-13
6.3000e+02,-2.6504e-13
6.4000e+02,-7.3329e-13
6.5000e+02,-1.1872e-12
6.6000e+02,-1.5277e-12
6.7000e+02,-1.6845e-12
6.8000e+02,-1.6556e-12
6.9000e+02,-1.4793e-12
7.0000e+02,-1.1757e-12
7.1000e+02,-7.5015e-13
7.2000e+02,-2.4566e-13
7.3000e+02,2.3370e-13
7.4000e+02,5.7060e-13
7.5000e+02,7.2292e-13
7.6000e+02,7.4947e-13
7.7000e+02,7.4929e-13
7.8000e+02,7.9861e-13
7.9000e+02,9.2539e-13
8.0000e+02,1.1013e-12
8.1000e+02,1.2470e-12
8.2000e+02,1.2735e-12
8.3000e+02,1.1347e-12
8.4000e+02,8.5511e-13
8.5000e+02,5.2678e-13
8.6000e+02,2.4771e-13
8.7000e+02,4.4775e-14
8.8000e+02,-1.2773e-13
8.9000e+02,-3.3386e-13
9.0000e+02,-6.1314e-13
9.1000e+02,-9.7131e-13
9.2000e+02,-1.3933e-12
9.3000e+02,-1.8374e-12
9.4000e+02,-2.2223e-12
9.5000e+02,-2.4490e-12
9.6000e+02,-2.4446e-12
9.7000e+02,-2.2250e-12
9.8000e+02,-1.9219e-12
9.9000e+02,-1.7171e-12
1.0000e+03,-1.7325e-12
1.0100e+03,-1.9347e-12
1.0200e+03,-2.1659e-12
1.0300e+03,-2.3183e-12
1.0400e+03,-2.3826e-12
1.0500e+03,-2.3217e-12
1.0600e+03,-2.0498e-12
1.0700e+03,-1.5129e-12
1.0800e+03,-7.4010e-13
1.0900e+03,1.0702e-13
