# Time , Flux-Flux
0.0000e+00,1.5594e-08
1.0000e+01,1.1884e-08
2.0000e+01,6.3227e-09
3.0000e+01,3.0611e-09
4.0000e+01,1.5167e-09
5.0000e+01,7.9707e-10
6.0000e+01,4.4649e-10
7.0000e+01,2.6521e-10
8.0000e+01,1.6578e-10
9.0000e+01,1.0824e-10
1.0000e+02,7.3401e-11
1.1000e+02,5.1294e-11
1.2000e+02,3.6823e-11
1.3000e+02,2.7380e-11
1.4000e+02,2.0669e-11
1.5000e+02,1.5561e-11
1.6000e+02,1.1667e-11
1.7000e+02,9.0440e-12
1.8000e+02,7.6416e-12
1.9000e+02,7.0066e-12
2.0000e+02,6.2966e-12
2.1000e+02,5.2826e-12
2.2000e+02,3.9714e-12
2.3000e+02,2.8005e-12
2.4000e+02,1.1752e-12
2.5000e+02,1.4728e-12
2.6000e+02,4.5783e-13
2.7000e+02,2.0669e-13
2.8000e+02,2.0485e-12
2.9000e+02,2.0042e-12
3.0000e+02,-2.6195e-12
3.1000e+02,-1.1277e-12
3.2000e+02,6.4761e-12
3.3000e+02,7.6208e-12
3.4000e+02,-2.8965e-12
3.5000e+02,-1.0922e-11
3.6000e+02,-4.4995e-12
3.7000e+02,6.1516e-12
3.8000e+02,9.1505e-12
3.9000e+02,5.6812e-12
4.0000e+02,-1.5777e-12
4.1000e+02,-7.7573e-12
4.2000e+02,-7.7891e-12
4.3000e+02,-4.0747e-12
4.4000e+02,2.0548e-12
4.5000e+02,3.5433e-12
4.6000e+02,1.8952e-12
4.7000e+02,7.3987e-13
4.8000e+02,-2.9959e-13
4.9000e+02,-1.7425e-13
5.0000e+02,-9.6404e-14
5.1000e+02,-4.1111e-14
5.2000e+02,-4.5058e-15
5.3000e+02,-6.7949e-14
5.4000e+02,-2.1562e-13
5.5000e+02,-6.2187e-13
5.6000e+02,-4.6681e-14
5.7000e+02,6.7834e-13
5.8000e+02,-9.0026e-13
5.9000e+02,1.5441e-12
6.0000e+02,5.9634e-12
6.1000e+02,8.1956e-12
6.2000e+02,5.2302e-13
6.3000e+02,-5.3162e-12
6.4000e+02,-8.7343e-12
6.5000e+02,-6.3256e-12
6.6000e+02,-6.5332e-12
6.7000e+02,-3.0904e-12
6.8000e+02,-3.0069e-12
6.9000e+02,-1.2749e-11
7.0000e+02,-1.0237e-11
7.1000e+02,-6.9204e-12
7.2000e+02,-3.8402e-12
7.3000e+02,4.8009e-12
7.4000e+02,7.2339e-12
7.5000e+02,1.2399e-12
7.6000e+02,-6.8190e-13
7.7000e+02,-1.2664e-12
7.8000e+02,-1.4750e-12
7.9000e+02,-2.6696e-12
8.0000e+02,1.1011e-12
8.1000e+02,4.9805e-12
8.2000e+02,3.2595e-12
8.3000e+02,7.8856e-12
8.4000e+02,5.9860e-12
8.5000e+02,-1.5703e-12
8.6000e+02,-2.9768e-12
8.7000e+02,-7.4409e-13
8.8000e+02,-3.2956e-13
8.9000e+02,-2.6289e-12
9.0000e+02,-8.1400e-12
9.1000e+02,-4.0145e-12
9.2000e+02,3.9576e-12
9.3000e+02,-1.1874e-12
9.4000e+02,-1.3577e-12
9.5000e+02,-1.1284e-11
9.6000e+02,-1.7545e-11
9.7000e+02,-5.7311e-12
9.8000e+02,2.1875e-12
9.9000e+02,1.5598e-12
1.0000e+03,-1.6044e-13
1.0100e+03,-8.9366e-12
1.0200e+03,-5.2455e-12
1.0300e+03,5.2839e-12
1.0400e+03,-1.1919e-11
1.0500e+03,-1.5054e-11
1.0600e+03,-1.1342e-11
1.0700e+03,-1.7938e-11
1.0800e+03,-1.5920e-11
1.0900e+03,5.1576e-12
1.1000e+03,2.4808e-11
1.1100e+03,6.2707e-12
1.1200e+03,-1.0079e-12
1.1300e+03,1.0469e-12
1.1400e+03,1.2927e-12
1.1500e+03,8.8278e-13
1.1600e+03,-3.0486e-12
1.1700e+03,1.1876e-12
1.1800e+03,3.5389e-12
1.1900e+03,-9.4064e-14
1.2000e+03,-3.2382e-12
1.2100e+03,-2.8172e-12
1.2200e+03,-1.3711e-12
1.2300e+03,-3.3111e-12
1.2400e+03,2.5130e-12
1.2500e+03,6.1093e-12
1.2600e+03,4.6686e-12
1.2700e+03,-1.1940e-12
1.2800e+03,-1.2660e-12
1.2900e+03,-2.5025e-13
1.3000e+03,-2.9184e-12
1.3100e+03,-4.6978e-12
1.3200e+03,4.2583e-12
1.3300e+03,3.3623e-12
1.3400e+03,-4.7176e-12
1.3500e+03,2.5371e-12
1.3600e+03,-5.0186e-13
1.3700e+03,-3.1744e-12
1.3800e+03,5.5565e-13
1.3900e+03,1.6093e-12
1.4000e+03,-1.4404e-12
1.4100e+03,-9.3179e-13
1.4200e+03,-1.6349e-12
1.4300e+03,-2.5212e-13
1.4400e+03,2.5446e-13
1.4500e+03,-4.3156e-14
1.4600e+03,-6.6827e-14
1.4700e+03,-8.9734e-15
1.4800e+03,4.0639e-14
1.4900e+03,-1.6965e-14
1.5000e+03,-3.1036e-14
1.5100e+03,-2.1963e-15
1.5200e+03,8.7027e-15
1.5300e+03,-4.0616e-14
1.5400e+03,-8.5639e-14
1.5500e+03,8.0951e-14
1.5600e+03,1.7703e-13
1.5700e+03,-3.7934e-13
1.5800e+03,-1.2593e-12
1.5900e+03,-1.6531e-12
1.6000e+03,1.2274e-12
1.6100e+03,1.3511e-12
1.6200e+03,-7.3330e-12
1.6300e+03,-3.1460e-12
1.6400e+03,1.5763e-12
1.6500e+03,-4.2694e-12
1.6600e+03,3.4269e-13
1.6700e+03,4.6929e-12
1.6800e+03,-1.3945e-12
1.6900e+03,-4.0175e-12
1.7000e+03,-5.9255e-12
1.7100e+03,4.2305e-13
1.7200e+03,5.0054e-12
1.7300e+03,-1.5985e-11
1.7400e+03,-1.1435e-11
1.7500e+03,1.7458e-11
1.7600e+03,1.2143e-11
1.7700e+03,-8.2800e-12
1.7800e+03,-3.6168e-12
1.7900e+03,-2.9346e-13
1.8000e+03,-1.4393e-12
1.8100e+03,-3.2440e-12
1.8200e+03,2.4090e-13
1.8300e+03,7.0146e-12
1.8400e+03,-8.6118e-12
1.8500e+03,-1.2816e-11
1.8600e+03,1.3363e-11
1.8700e+03,1.1989e-11
1.8800e+03,-7.6324e-12
1.8900e+03,-1.9958e-11
1.9000e+03,3.7082e-13
1.9100e+03,2.8987e-11
1.9200e+03,1.2129e-11
1.9300e+03,-2.5417e-11
1.9400e+03,-3.0009e-11
1.9500e+03,-2.9397e-12
1.9600e+03,2.2361e-11
1.9700e+03,2.6018e-11
1.9800e+03,1.4156e-11
1.9900e+03,-1.0326e-11
2.0000e+03,-4.0323e-11
2.0100e+03,-5.0986e-11
2.0200e+03,-2.9400e-11
2.0300e+03,-6.8529e-13
2.0400e+03,-1.3292e-11
2.0500e+03,-3.4861e-11
2.0600e+03,-3.8134e-12
2.0700e+03,3.6452e-11
2.0800e+03,1.9602e-11
2.0900e+03,-3.5750e-11
2.1000e+03,-3.5839e-11
2.1100e+03,2.4810e-11
2.1200e+03,4.9201e-11
2.1300e+03,4.3611e-13
2.1400e+03,-6.2763e-11
2.1500e+03,-5.0936e-11
2.1600e+03,3.0869e-11
2.1700e+03,9.1198e-11
2.1800e+03,6.6628e-11
2.1900e+03,-4.3264e-12
2.2000e+03,-7.0161e-11
2.2100e+03,-7.6523e-11
2.2200e+03,-1.7514e-11
2.2300e+03,2.9917e-11
2.2400e+03,4.0705e-11
2.2500e+03,1.0379e-11
2.2600e+03,-2.1055e-11
2.2700e+03,-1.8478e-11
2.2800e+03,5.0187e-13
2.2900e+03,5.7348e-12
2.3000e+03,3.3361e-13
2.3100e+03,-3.0404e-12
2.3200e+03,-4.3389e-12
2.3300e+03,-2.1252e-12
2.3400e+03,8.2965e-12
2.3500e+03,2.0320e-11
2.3600e+03,2.0440e-11
2.3700e+03,1.9742e-11
2.3800e+03,3.4618e-11
2.3900e+03,6.2041e-11
2.4000e+03,8.8235e-11
2.4100e+03,8.3561e-11
2.4200e+03,5.0627e-11
2.4300e+03,5.9950e-12
2.4400e+03,-2.5309e-11
2.4500e+03,-3.9367e-11
2.4600e+03,-4.5960e-11
2.4700e+03,-4.4707e-11
2.4800e+03,-2.5870e-11
2.4900e+03,6.6711e-12
2.5000e+03,3.1479e-11
2.5100e+03,2.9646e-11
2.5200e+03,1.2308e-11
2.5300e+03,2.8431e-13
2.5400e+03,-2.2496e-12
2.5500e+03,-1.6230e-12
2.5600e+03,-8.1638e-13
2.5700e+03,-2.6131e-13
2.5800e+03,7.6552e-13
2.5900e+03,1.1093e-12
2.6000e+03,-4.0416e-14
2.6100e+03,-1.3260e-13
2.6200e+03,5.6540e-13
2.6300e+03,-4.3217e-12
2.6400e+03,-1.2998e-11
2.6500e+03,-1.5563e-11
2.6600e+03,9.4153e-12
2.6700e+03,5.6789e-11
2.6800e+03,9.8113e-11
2.6900e+03,1.0642e-10
2.7000e+03,8.7204e-11
2.7100e+03,3.3450e-11
2.7200e+03,-3.9394e-11
2.7300e+03,-1.0731e-10
2.7400e+03,-1.4645e-10
2.7500e+03,-1.4829e-10
2.7600e+03,-1.1894e-10
2.7700e+03,-8.4783e-11
