# Time , Flux-Flux
0.0000e+00,1.8842e-12
1.0000e+01,1.8786e-12
2.0000e+01,1.8619e-12
3.0000e+01,1.8345e-12
4.0000e+01,1.7972e-12
5.0000e+01,1.7508e-12
6.0000e+01,1.6965e-12
7.0000e+01,1.6356e-12
8.0000e+01,1.5693e-12
9.0000e+01,1.4988e-12
1.0000e+02,1.4256e-12
1.1000e+02,1.3507e-12
1.2000e+02,1.2752e-12
1.3000e+02,1.2001e-12
1.4000e+02,1.1262e-12
1.5000e+02,1.0541e-12
1.6000e+02,9.8437e-13
1.7000e+02,9.1745e-13
1.8000e+02,8.5361e-13
1.9000e+02,7.9303e-13
2.0000e+02,7.3583e-13
2.1000e+02,6.8202e-13
2.2000e+02,6.3158e-13
2.3000e+02,5.8445e-13
2.4000e+02,5.4050e-13
2.5000e+02,4.9960e-13
2.6000e+02,4.6162e-13
2.7000e+02,4.2637e-13
2.8000e+02,3.9371e-13
2.9000e+02,3.6348e-13
3.0000e+02,3.3550e-13
3.1000e+02,3.0964e-13
3.2000e+02,2.8575e-13
3.3000e+02,2.6369e-13
3.4000e+02,2.4334e-13
3.5000e+02,2.2459e-13
3.6000e+02,2.0733e-13
3.7000e+02,1.9146e-13
3.8000e+02,1.7689e-13
3.9000e+02,1.6355e-13
4.0000e+02,1.5135e-13
4.1000e+02,1.4021e-13
4.2000e+02,1.3008e-13
4.3000e+02,1.2088e-13
4.4000e+02,1.1255e-13
4.5000e+02,1.0503e-13
4.6000e+02,9.8256e-14
4.7000e+02,9.2180e-14
4.8000e+02,8.6740e-14
4.9000e+02,8.1882e-14
5.0000e+02,7.7550e-14
5.1000e+02,7.3694e-14
5.2000e+02,7.0262e-14
5.3000e+02,6.7209e-14
5.4000e+02,6.4492e-14
5.5000e+02,6.2073e-14
5.6000e+02,5.9920e-14
5.7000e+02,5.8008e-14
5.8000e+02,5.6317e-14
5.9000e+02,5.4836e-14
6.0000e+02,5.3560e-14
6.1000e+02,5.2486e-14
