0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01
1.000000000000000000e+02,2.080083770295775682e+07,3.154639529234604239e+08,1.574817243757052422e+09,4.991174733800005913e+09,1.235983670440001106e+10
2.000000000000000000e+02,2.349036841829163581e+07,3.572291980416004062e+08,1.783297615802838326e+09,5.684381086600004196e+09,1.397552644600001144e+10
4.000000000000000000e+02,3.998561595594710112e+07,6.181905288224009275e+08,3.159584043858228683e+09,1.017739106220000648e+10,2.480212998600002670e+10
6.000000000000000000e+02,6.472609671754547954e+07,1.019476251024336338e+09,5.336373319888472557e+09,1.706640565220001221e+10,4.067433928600003052e+10
7.500000000000000000e+02,8.910681053045502305e+07,1.422060390151602030e+09,7.517132273400011063e+09,2.373479813600001907e+10,5.379060077800005341e+10
1.000000000000000000e+03,1.394786951903575659e+08,2.274885111038858414e+09,1.208624844020001030e+10,3.743447361200003815e+10,9.866852554000013733e+10
1.250000000000000000e+03,2.025687372727576494e+08,3.364740000000002384e+09,1.777280158760001373e+10,6.062839204000003815e+10,1.410413938600000916e+11
1.500000000000000000e+03,2.778403488169561625e+08,4.710608000000004768e+09,2.475480035260002899e+10,8.320091552800006104e+10,1.859532111800001526e+11
1.750000000000000000e+03,3.656384882648423910e+08,6.293718556800196648e+09,3.273074336980002975e+10,1.068702541200000916e+11,2.321059051400001221e+11
2.000000000000000000e+03,4.677673308462729454e+08,8.145125331600008011e+09,4.094124301800004578e+10,1.340311259000001526e+11,2.782936535000001221e+11
2.500000000000000000e+03,7.113712547023730278e+08,1.266552388000001144e+10,4.288650412200005341e+10,1.817696880600001221e+11,3.030021918000001221e+11
3.000000000000000000e+03,1.015804077342593431e+09,1.811831731980001450e+10,4.404004301200003052e+10,2.318489705200000610e+11,3.964664254000001831e+11
3.500000000000000000e+03,1.377409068638520241e+09,2.463343155560002518e+10,4.524286304800001526e+10,2.796470644200001831e+11,4.560092177999997559e+11
4.000000000000000000e+03,1.808688899702345133e+09,3.169907969500002289e+10,4.510593520000000763e+10,3.250509095000002441e+11,5.098898422000003662e+11
4.500000000000000000e+03,2.291649517160261631e+09,4.056437853800005341e+10,4.376941274000001526e+10,3.677827408000001221e+11,5.588915920000003662e+11
5.000000000000000000e+03,2.827824535114795685e+09,5.214191361200008392e+10,9.441258880000007629e+10,4.074922314000001831e+11,6.038000380000004883e+11
