# Time , Side-Flux
0.0000e+00,0.0000e+00
1.0000e+01,1.7266e-06
2.0000e+01,3.3770e-06
3.0000e+01,4.8885e-06
4.0000e+01,6.2201e-06
5.0000e+01,7.3545e-06
6.0000e+01,8.2945e-06
7.0000e+01,9.0564e-06
8.0000e+01,9.6641e-06
9.0000e+01,1.0143e-05
1.0000e+02,1.0518e-05
1.1000e+02,1.0811e-05
1.2000e+02,1.1040e-05
1.3000e+02,1.1220e-05
1.4000e+02,1.1361e-05
1.5000e+02,1.1474e-05
1.6000e+02,1.1564e-05
1.7000e+02,1.1636e-05
1.8000e+02,1.1696e-05
1.9000e+02,1.1745e-05
2.0000e+02,1.1785e-05
2.1000e+02,1.1819e-05
2.2000e+02,1.1847e-05
2.3000e+02,1.1871e-05
2.4000e+02,1.1892e-05
2.5000e+02,1.1909e-05
2.6000e+02,1.1924e-05
2.7000e+02,1.1937e-05
2.8000e+02,1.1949e-05
2.9000e+02,1.1959e-05
3.0000e+02,1.1969e-05
3.1000e+02,1.1978e-05
3.2000e+02,1.1986e-05
3.3000e+02,1.1993e-05
3.4000e+02,1.2000e-05
3.5000e+02,1.2007e-05
3.6000e+02,1.2013e-05
3.7000e+02,1.2018e-05
3.8000e+02,1.2023e-05
3.9000e+02,1.2027e-05
4.0000e+02,1.2031e-05
4.1000e+02,1.2034e-05
4.2000e+02,1.2036e-05
4.3000e+02,1.2038e-05
4.4000e+02,1.2039e-05
4.5000e+02,1.2041e-05
4.6000e+02,1.2042e-05
4.7000e+02,1.2043e-05
4.8000e+02,1.2043e-05
4.9000e+02,1.2044e-05
5.0000e+02,1.2044e-05
5.1000e+02,1.2044e-05
5.2000e+02,1.2044e-05
5.3000e+02,1.2043e-05
5.4000e+02,1.2043e-05
5.5000e+02,1.2043e-05
5.6000e+02,1.2043e-05
5.7000e+02,1.2043e-05
5.8000e+02,1.2043e-05
5.9000e+02,1.2044e-05
6.0000e+02,1.2044e-05
6.1000e+02,1.2044e-05
6.2000e+02,1.2044e-05
6.3000e+02,1.2044e-05
6.4000e+02,1.2042e-05
6.5000e+02,1.2038e-05
6.6000e+02,1.2033e-05
6.7000e+02,1.2026e-05
6.8000e+02,1.2017e-05
6.9000e+02,1.2007e-05
7.0000e+02,1.1997e-05
7.1000e+02,1.1986e-05
7.2000e+02,1.1976e-05
7.3000e+02,1.1966e-05
7.4000e+02,1.1959e-05
7.5000e+02,1.1953e-05
7.6000e+02,1.1949e-05
7.7000e+02,1.1948e-05
7.8000e+02,1.1948e-05
7.9000e+02,1.1950e-05
8.0000e+02,1.1953e-05
8.1000e+02,1.1956e-05
8.2000e+02,1.1959e-05
8.3000e+02,1.1962e-05
8.4000e+02,1.1964e-05
8.5000e+02,1.1965e-05
8.6000e+02,1.1965e-05
8.7000e+02,1.1965e-05
8.8000e+02,1.1964e-05
8.9000e+02,1.1961e-05
9.0000e+02,1.1957e-05
9.1000e+02,1.1950e-05
9.2000e+02,1.1939e-05
9.3000e+02,1.1925e-05
9.4000e+02,1.1907e-05
9.5000e+02,1.1886e-05
9.6000e+02,1.1862e-05
9.7000e+02,1.1837e-05
9.8000e+02,1.1813e-05
9.9000e+02,1.1790e-05
1.0000e+03,1.1770e-05
1.0100e+03,1.1753e-05
1.0200e+03,1.1738e-05
1.0300e+03,1.1724e-05
1.0400e+03,1.1711e-05
1.0500e+03,1.1695e-05
1.0600e+03,1.1678e-05
1.0700e+03,1.1659e-05
1.0800e+03,1.1639e-05
1.0900e+03,1.1619e-05
1.1000e+03,1.1600e-05
1.1100e+03,1.1584e-05
1.1200e+03,1.1571e-05
1.1300e+03,1.1563e-05
1.1400e+03,1.1560e-05
1.1500e+03,1.1560e-05
1.1600e+03,1.1564e-05
1.1700e+03,1.1571e-05
1.1800e+03,1.1578e-05
1.1900e+03,1.1587e-05
1.2000e+03,1.1594e-05
1.2100e+03,1.1601e-05
1.2200e+03,1.1607e-05
1.2300e+03,1.1612e-05
1.2400e+03,1.1615e-05
1.2500e+03,1.1616e-05
1.2600e+03,1.1617e-05
1.2700e+03,1.1617e-05
1.2800e+03,1.1616e-05
1.2900e+03,1.1616e-05
1.3000e+03,1.1617e-05
1.3100e+03,1.1618e-05
1.3200e+03,1.1619e-05
1.3300e+03,1.1619e-05
1.3400e+03,1.1620e-05
1.3500e+03,1.1620e-05
1.3600e+03,1.1619e-05
1.3700e+03,1.1617e-05
1.3800e+03,1.1616e-05
1.3900e+03,1.1614e-05
1.4000e+03,1.1613e-05
1.4100e+03,1.1612e-05
1.4200e+03,1.1612e-05
1.4300e+03,1.1612e-05
1.4400e+03,1.1611e-05
1.4500e+03,1.1611e-05
1.4600e+03,1.1611e-05
1.4700e+03,1.1611e-05
1.4800e+03,1.1611e-05
1.4900e+03,1.1611e-05
1.5000e+03,1.1610e-05
1.5100e+03,1.1610e-05
1.5200e+03,1.1610e-05
1.5300e+03,1.1610e-05
1.5400e+03,1.1610e-05
1.5500e+03,1.1610e-05
1.5600e+03,1.1611e-05
1.5700e+03,1.1610e-05
1.5800e+03,1.1610e-05
1.5900e+03,1.1610e-05
1.6000e+03,1.1609e-05
1.6100e+03,1.1609e-05
1.6200e+03,1.1608e-05
1.6300e+03,1.1606e-05
1.6400e+03,1.1604e-05
1.6500e+03,1.1601e-05
1.6600e+03,1.1597e-05
1.6700e+03,1.1593e-05
1.6800e+03,1.1588e-05
1.6900e+03,1.1584e-05
1.7000e+03,1.1580e-05
1.7100e+03,1.1576e-05
1.7200e+03,1.1572e-05
